#model_version:v2026.06.15,score_date:2026-08-23T12:03:05Z
cve,epss,percentile
CVE-2010-0001,0.04774,0.91255
CVE-2010-0002,0.0068,0.49345
CVE-2010-0003,0.00415,0.34792
CVE-2010-0004,0.02602,0.84122
CVE-2010-0005,0.01688,0.74899
CVE-2010-0006,0.03564,0.88484
CVE-2010-0007,0.00403,0.33809
CVE-2010-0008,0.0452,0.90833
CVE-2010-0009,0.05351,0.92076
CVE-2010-0010,0.43421,0.98678
CVE-2010-0011,0.02135,0.80356
CVE-2010-0012,0.04194,0.90212
CVE-2010-0013,0.12496,0.95984
CVE-2010-0014,0.00686,0.49599
CVE-2010-0015,0.03067,0.86573
CVE-2010-0016,0.0867,0.94774
CVE-2010-0017,0.30879,0.98159
CVE-2010-0018,0.26523,0.97909
CVE-2010-0019,0.14368,0.96396
CVE-2010-0020,0.32032,0.98223
CVE-2010-0021,0.1348,0.96212
CVE-2010-0022,0.78338,0.99561
CVE-2010-0023,0.01812,0.76651
CVE-2010-0024,0.10746,0.95557
CVE-2010-0025,0.21491,0.97484
CVE-2010-0026,0.01571,0.73058
CVE-2010-0027,0.33985,0.98314
CVE-2010-0028,0.48452,0.98813
CVE-2010-0029,0.22456,0.97573
CVE-2010-0030,0.2467,0.97768
CVE-2010-0031,0.21221,0.97459
CVE-2010-0032,0.21221,0.97459
CVE-2010-0033,0.51073,0.98876
CVE-2010-0034,0.28849,0.98055
CVE-2010-0035,0.16349,0.96778
CVE-2010-0036,0.03801,0.89238
CVE-2010-0037,0.04963,0.91571
CVE-2010-0038,0.00363,0.29588
CVE-2010-0039,0.01722,0.75421
CVE-2010-0040,0.0647,0.93308
CVE-2010-0041,0.02516,0.83509
CVE-2010-0042,0.02516,0.83509
CVE-2010-0043,0.058,0.92608
CVE-2010-0044,0.0153,0.72403
CVE-2010-0045,0.04403,0.90619
CVE-2010-0046,0.05927,0.92759
CVE-2010-0047,0.0504,0.91683
CVE-2010-0048,0.0504,0.91683
CVE-2010-0049,0.10936,0.95612
CVE-2010-0050,0.11637,0.95787
CVE-2010-0051,0.02796,0.85291
CVE-2010-0052,0.0605,0.92893
CVE-2010-0053,0.0605,0.92892
CVE-2010-0054,0.0605,0.92892
CVE-2010-0055,0.01981,0.78775
CVE-2010-0056,0.02531,0.83619
CVE-2010-0057,0.01209,0.65623
CVE-2010-0058,0.01588,0.73323
CVE-2010-0059,0.04566,0.9091
CVE-2010-0060,0.0284,0.85532
CVE-2010-0062,0.03719,0.8896
CVE-2010-0063,0.0157,0.73052
CVE-2010-0064,0.00336,0.2665
CVE-2010-0065,0.02449,0.83035
CVE-2010-0066,0.02495,0.8335
CVE-2010-0067,0.02538,0.83658
CVE-2010-0068,0.02084,0.79858
CVE-2010-0069,0.01525,0.72309
CVE-2010-0070,0.02076,0.79769
CVE-2010-0071,0.0983,0.95255
CVE-2010-0072,0.06065,0.92913
CVE-2010-0073,0.04763,0.9124
CVE-2010-0074,0.01972,0.78681
CVE-2010-0075,0.01916,0.78007
CVE-2010-0076,0.0096,0.58352
CVE-2010-0077,0.01188,0.65038
CVE-2010-0078,0.0195,0.78435
CVE-2010-0079,0.03088,0.86672
CVE-2010-0080,0.01292,0.67621
CVE-2010-0081,0.01089,0.62343
CVE-2010-0082,0.03084,0.86657
CVE-2010-0083,0.0219,0.80863
CVE-2010-0084,0.03162,0.87008
CVE-2010-0085,0.03084,0.86657
CVE-2010-0086,0.02076,0.79769
CVE-2010-0087,0.03337,0.87726
CVE-2010-0088,0.03036,0.8645
CVE-2010-0089,0.03361,0.87814
CVE-2010-0090,0.02879,0.85728
CVE-2010-0091,0.02783,0.85223
CVE-2010-0092,0.02925,0.85955
CVE-2010-0093,0.03084,0.86657
CVE-2010-0094,0.81593,0.99625
CVE-2010-0095,0.03036,0.8645
CVE-2010-0097,0.09363,0.95076
CVE-2010-0098,0.04894,0.91445
CVE-2010-0101,0.01217,0.6582
CVE-2010-0103,0.27429,0.97965
CVE-2010-0104,0.0651,0.93342
CVE-2010-0105,0.0084,0.54708
CVE-2010-0106,0.00622,0.46984
CVE-2010-0107,0.06525,0.93351
CVE-2010-0108,0.19405,0.97212
CVE-2010-0109,0.00797,0.5336
CVE-2010-0110,0.0513,0.91795
CVE-2010-0111,0.34516,0.98334
CVE-2010-0112,0.05822,0.92634
CVE-2010-0113,0.01184,0.64961
CVE-2010-0114,0.05048,0.91692
CVE-2010-0115,0.02364,0.82362
CVE-2010-0116,0.05718,0.92503
CVE-2010-0117,0.05039,0.91681
CVE-2010-0118,0.00325,0.25522
CVE-2010-0119,0.00348,0.27965
CVE-2010-0120,0.05718,0.92504
CVE-2010-0121,0.01572,0.73094
CVE-2010-0122,0.02312,0.81928
CVE-2010-0123,0.01256,0.66782
CVE-2010-0124,0.00367,0.29927
CVE-2010-0125,0.01559,0.7289
CVE-2010-0126,0.0397,0.89704
CVE-2010-0127,0.05073,0.91719
CVE-2010-0128,0.04992,0.91623
