#model_version:v2026.06.15,score_date:2026-06-30T12:00:29Z
cve,epss,percentile
CVE-2022-30000,0.01068,0.60592
CVE-2022-30001,0.01068,0.60592
CVE-2022-30002,0.00946,0.56661
CVE-2022-30003,0.00492,0.38533
CVE-2022-30004,0.01447,0.7002
CVE-2022-30007,0.00913,0.5559
CVE-2022-30011,0.18452,0.9688
CVE-2022-30012,0.01676,0.7397
CVE-2022-30013,0.00584,0.43494
CVE-2022-30014,0.00621,0.45256
CVE-2022-30015,0.00509,0.39535
CVE-2022-30016,0.00929,0.56081
CVE-2022-30017,0.00477,0.37646
CVE-2022-30018,0.01002,0.5849
CVE-2022-30023,0.43638,0.98578
CVE-2022-30024,0.02152,0.79858
CVE-2022-30025,0.0084,0.53249
CVE-2022-30028,0.00487,0.3823
CVE-2022-30033,0.011,0.61527
CVE-2022-30034,0.01339,0.67751
CVE-2022-30036,0.00756,0.50485
CVE-2022-30037,0.00924,0.55929
CVE-2022-30040,0.01844,0.76358
CVE-2022-30045,0.00917,0.55705
CVE-2022-30047,0.01424,0.69567
CVE-2022-30048,0.01424,0.69567
CVE-2022-30049,0.00967,0.57294
CVE-2022-30050,0.0067,0.47332
CVE-2022-30052,0.01159,0.63153
CVE-2022-30053,0.01159,0.63152
CVE-2022-30054,0.01159,0.63153
CVE-2022-30055,0.03692,0.88331
CVE-2022-30057,0.00471,0.37191
CVE-2022-30058,0.01085,0.61069
CVE-2022-30059,0.01097,0.61474
CVE-2022-30060,0.01085,0.61074
CVE-2022-30061,0.01229,0.65163
CVE-2022-30062,0.0103,0.59378
CVE-2022-30063,0.16596,0.96616
CVE-2022-30065,0.01167,0.6339
CVE-2022-30067,0.00715,0.49066
CVE-2022-30072,0.00808,0.52248
CVE-2022-30073,0.0154,0.7177
CVE-2022-30075,0.36947,0.98316
CVE-2022-30076,0.03543,0.87838
CVE-2022-30078,0.01797,0.75706
CVE-2022-30079,0.24385,0.97594
CVE-2022-30083,0.00965,0.57238
CVE-2022-30105,0.02766,0.84466
CVE-2022-30110,0.0053,0.40732
CVE-2022-30111,0.00313,0.22958
CVE-2022-30113,0.00675,0.47539
CVE-2022-30114,0.02396,0.81921
CVE-2022-30115,0.01118,0.62018
CVE-2022-30117,0.02021,0.78524
CVE-2022-30118,0.00847,0.53453
CVE-2022-30119,0.00847,0.53453
CVE-2022-30120,0.0095,0.56781
CVE-2022-30121,0.0032,0.23693
CVE-2022-30122,0.02056,0.78896
CVE-2022-30123,0.01801,0.75764
CVE-2022-30124,0.00563,0.42524
CVE-2022-30126,0.02495,0.82677
CVE-2022-30127,0.01759,0.75172
CVE-2022-30128,0.01759,0.75172
CVE-2022-30129,0.41717,0.98508
CVE-2022-30130,0.02461,0.82435
CVE-2022-30131,0.00793,0.51732
CVE-2022-30132,0.00653,0.46625
CVE-2022-30133,0.02247,0.8069
CVE-2022-30134,0.0165,0.73569
CVE-2022-30135,0.00776,0.51184
CVE-2022-30136,0.74677,0.99438
CVE-2022-30137,0.01164,0.63342
CVE-2022-30138,0.00984,0.57903
CVE-2022-30139,0.02119,0.79554
CVE-2022-30140,0.01764,0.75241
CVE-2022-30141,0.0233,0.81396
CVE-2022-30142,0.02013,0.78447
CVE-2022-30143,0.01764,0.75241
CVE-2022-30144,0.00845,0.53359
CVE-2022-30145,0.01952,0.77739
CVE-2022-30146,0.01764,0.75242
CVE-2022-30147,0.04533,0.90365
CVE-2022-30148,0.01229,0.65158
CVE-2022-30149,0.01764,0.75241
CVE-2022-30150,0.03184,0.86469
CVE-2022-30151,0.00534,0.41
CVE-2022-30152,0.02652,0.83745
CVE-2022-30153,0.02317,0.81296
CVE-2022-30154,0.01516,0.7136
CVE-2022-30155,0.04687,0.90645
CVE-2022-30157,0.07317,0.9361
CVE-2022-30158,0.03207,0.86558
CVE-2022-30159,0.02563,0.8316
CVE-2022-30160,0.06292,0.92721
CVE-2022-30161,0.02317,0.81295
CVE-2022-30162,0.0077,0.50968
CVE-2022-30163,0.01727,0.74698
CVE-2022-30164,0.01152,0.6297
CVE-2022-30165,0.04169,0.89631
CVE-2022-30166,0.01389,0.68876
CVE-2022-30167,0.02103,0.79412
CVE-2022-30168,0.02441,0.82269
CVE-2022-30170,0.0147,0.70502
CVE-2022-30171,0.02423,0.82129
CVE-2022-30172,0.02585,0.83302
CVE-2022-30173,0.02147,0.79807
CVE-2022-30174,0.03278,0.86877
CVE-2022-30175,0.01109,0.6178
CVE-2022-30176,0.0095,0.56766
CVE-2022-30177,0.02103,0.79411
CVE-2022-30178,0.02103,0.79412
CVE-2022-30179,0.02391,0.81883
CVE-2022-30180,0.02103,0.79411
CVE-2022-30181,0.01475,0.70594
CVE-2022-30184,0.05291,0.91553
CVE-2022-30187,0.005,0.38995
CVE-2022-30188,0.02559,0.83127
CVE-2022-30189,0.02483,0.82593
CVE-2022-30190,0.99374,0.99935
CVE-2022-30192,0.02574,0.83232
CVE-2022-30193,0.02121,0.79564
CVE-2022-30194,0.01164,0.63306
CVE-2022-30196,0.01581,0.72465
CVE-2022-30197,0.00876,0.54449
CVE-2022-30198,0.01057,0.60195
CVE-2022-30200,0.01206,0.64479
CVE-2022-30202,0.04357,0.90027
CVE-2022-30203,0.01483,0.70735
CVE-2022-30205,0.00974,0.57622
CVE-2022-30206,0.02131,0.79668
CVE-2022-30208,0.02085,0.79222
CVE-2022-30209,0.02081,0.79162
CVE-2022-30211,0.01685,0.74141
CVE-2022-30212,0.00414,0.33155
CVE-2022-30213,0.007,0.48507
CVE-2022-30214,0.00818,0.52569
CVE-2022-30215,0.01388,0.68845
CVE-2022-30216,0.8834,0.99751
CVE-2022-30220,0.05074,0.91265
CVE-2022-30221,0.01714,0.74533
CVE-2022-30222,0.00663,0.47057
CVE-2022-30223,0.00798,0.51904
CVE-2022-30224,0.00493,0.38567
CVE-2022-30225,0.00539,0.41243
CVE-2022-30226,0.00716,0.49111
CVE-2022-30228,0.00377,0.29513
CVE-2022-30229,0.00707,0.48768
CVE-2022-30230,0.0102,0.59067
CVE-2022-30231,0.00572,0.42954
CVE-2022-30232,0.01142,0.62676
CVE-2022-30233,0.00672,0.4742
CVE-2022-30234,0.01063,0.60378
CVE-2022-30235,0.00928,0.56068
CVE-2022-30236,0.00731,0.49676
CVE-2022-30237,0.00294,0.21063
CVE-2022-30238,0.00916,0.55692
CVE-2022-30239,0.00454,0.36151
CVE-2022-30240,0.00454,0.36151
CVE-2022-30241,0.00684,0.47881
CVE-2022-30242,0.01004,0.58588
CVE-2022-30243,0.01454,0.70178
CVE-2022-30244,0.01174,0.63596
CVE-2022-30245,0.01026,0.59266
CVE-2022-30256,0.0089,0.54842
CVE-2022-30257,0.00671,0.47376
CVE-2022-30258,0.00671,0.47376
CVE-2022-30260,0.00149,0.04468
CVE-2022-30262,0.00171,0.0671
CVE-2022-30264,0.0042,0.33655
CVE-2022-30269,0.00374,0.29287
CVE-2022-30270,0.00734,0.49761
CVE-2022-30271,0.00835,0.53098
CVE-2022-30272,0.00372,0.2902
CVE-2022-30273,0.00311,0.22768
CVE-2022-30274,0.00519,0.40165
CVE-2022-30275,0.00452,0.36002
CVE-2022-30276,0.00643,0.46211
CVE-2022-30277,0.00223,0.12765
CVE-2022-30278,0.00776,0.51159
CVE-2022-30279,0.00902,0.55196
CVE-2022-30280,0.00381,0.29894
CVE-2022-30283,0.00135,0.0329
CVE-2022-30284,0.04936,0.9106
CVE-2022-30285,0.00466,0.36919
CVE-2022-30286,0.12997,0.9584
CVE-2022-30287,0.70276,0.99302
CVE-2022-30288,0.01501,0.71087
CVE-2022-30289,0.00442,0.35293
CVE-2022-30290,0.00808,0.52241
CVE-2022-30292,0.03576,0.87939
CVE-2022-30293,0.02158,0.79907
CVE-2022-30295,0.11264,0.9542
CVE-2022-30296,0.00641,0.46096
CVE-2022-30297,0.00168,0.06504
CVE-2022-30298,0.00202,0.10279
CVE-2022-30299,0.00474,0.37463
CVE-2022-30300,0.00802,0.52014
CVE-2022-30301,0.00224,0.12964
CVE-2022-30302,0.00838,0.5319
CVE-2022-30303,0.02514,0.82816
CVE-2022-30304,0.00668,0.47244
CVE-2022-30305,0.00613,0.44837
CVE-2022-30306,0.00971,0.57485
CVE-2022-30307,0.00443,0.35389
CVE-2022-30308,0.02692,0.84015
CVE-2022-30309,0.0302,0.8578
CVE-2022-30310,0.02477,0.82552
CVE-2022-30311,0.02779,0.84574
CVE-2022-30312,0.00218,0.12218
CVE-2022-30313,0.00722,0.4932
CVE-2022-30314,0.00256,0.16839
CVE-2022-30315,0.0073,0.49631
CVE-2022-30316,0.00345,0.26309
CVE-2022-30317,0.00719,0.4922
CVE-2022-30318,0.01345,0.67882
CVE-2022-30319,0.00616,0.44991
CVE-2022-30320,0.00229,0.13595
CVE-2022-30321,0.03054,0.85928
CVE-2022-30322,0.01279,0.66381
CVE-2022-30323,0.01279,0.66382
CVE-2022-30324,0.01325,0.67381
CVE-2022-30325,0.00437,0.34981
CVE-2022-30326,0.00462,0.36663
CVE-2022-30327,0.00469,0.37079
CVE-2022-30328,0.00394,0.31161
CVE-2022-30329,0.01769,0.75328
CVE-2022-30330,0.00526,0.40543
CVE-2022-30331,0.00873,0.54358
CVE-2022-30332,0.00842,0.53293
CVE-2022-30333,0.98975,0.99924
CVE-2022-30334,0.02179,0.80088
CVE-2022-30335,0.01124,0.62211
CVE-2022-30337,0.00273,0.19038
CVE-2022-30338,0.00147,0.04357
CVE-2022-30339,0.00218,0.12125
CVE-2022-30349,0.00642,0.46132
CVE-2022-30350,0.00725,0.49411
CVE-2022-30351,0.00565,0.42643
CVE-2022-30352,0.01768,0.7532
CVE-2022-30354,0.0049,0.38443
CVE-2022-30355,0.00459,0.36493
CVE-2022-30356,0.00365,0.2835
CVE-2022-30357,0.00292,0.20856
CVE-2022-30358,0.00513,0.39774
CVE-2022-30359,0.00274,0.1907
CVE-2022-30360,0.00274,0.1907
CVE-2022-30361,0.00366,0.28487
CVE-2022-30367,0.00814,0.52413
CVE-2022-30370,0.01026,0.59275
CVE-2022-30371,0.00909,0.55466
CVE-2022-30372,0.00909,0.55466
CVE-2022-30373,0.00909,0.55467
CVE-2022-30374,0.00909,0.55469
CVE-2022-30375,0.00814,0.52414
CVE-2022-30376,0.00909,0.55467
CVE-2022-30378,0.00909,0.55469
CVE-2022-30379,0.00909,0.5547
CVE-2022-30381,0.0088,0.54573
CVE-2022-30384,0.01026,0.59273
CVE-2022-30385,0.01026,0.59274
CVE-2022-30386,0.01026,0.59275
CVE-2022-30387,0.00855,0.53754
CVE-2022-30391,0.01026,0.59274
CVE-2022-30392,0.01026,0.59274
CVE-2022-30393,0.00909,0.5547
CVE-2022-30395,0.01026,0.59274
CVE-2022-30396,0.00909,0.55468
CVE-2022-30398,0.00909,0.55468
CVE-2022-30399,0.00909,0.55468
CVE-2022-30400,0.00909,0.5547
CVE-2022-30401,0.00909,0.5547
CVE-2022-30402,0.00909,0.55471
CVE-2022-30403,0.00909,0.55467
CVE-2022-30404,0.0074,0.49991
CVE-2022-30407,0.01026,0.59277
CVE-2022-30408,0.0088,0.54573
CVE-2022-30411,0.00909,0.55469
CVE-2022-30412,0.00909,0.55467
CVE-2022-30413,0.01026,0.59277
CVE-2022-30414,0.00909,0.55466
CVE-2022-30415,0.00909,0.55471
CVE-2022-30417,0.00909,0.55471
CVE-2022-30421,0.00346,0.26414
CVE-2022-30422,0.03803,0.8868
CVE-2022-30423,0.01701,0.74345
CVE-2022-30425,0.19071,0.96964
CVE-2022-30426,0.00413,0.33019
CVE-2022-30427,0.01438,0.69837
CVE-2022-30428,0.0105,0.59973
CVE-2022-30429,0.00564,0.42563
CVE-2022-30448,0.01862,0.7662
CVE-2022-30449,0.01632,0.73287
CVE-2022-30450,0.19966,0.97105
CVE-2022-30451,0.01461,0.7031
CVE-2022-30452,0.00946,0.56661
CVE-2022-30453,0.14473,0.96194
CVE-2022-30454,0.01026,0.59276
CVE-2022-30455,0.01026,0.59276
CVE-2022-30456,0.00471,0.37191
CVE-2022-30458,0.00471,0.37192
CVE-2022-30459,0.00921,0.55825
CVE-2022-30460,0.00471,0.37192
CVE-2022-30461,0.01026,0.59276
CVE-2022-30462,0.00471,0.37192
CVE-2022-30463,0.00921,0.55825
CVE-2022-30464,0.00471,0.37193
CVE-2022-30466,0.00653,0.46625
CVE-2022-30467,0.00858,0.53853
CVE-2022-30469,0.01422,0.69536
CVE-2022-30470,0.02525,0.8289
CVE-2022-30472,0.01312,0.67102
CVE-2022-30473,0.01111,0.61838
CVE-2022-30474,0.01312,0.67102
CVE-2022-30475,0.01111,0.61838
CVE-2022-30476,0.01312,0.67103
CVE-2022-30477,0.01312,0.67103
CVE-2022-30478,0.01482,0.70718
CVE-2022-30481,0.01494,0.70946
CVE-2022-30482,0.00758,0.50578
CVE-2022-30489,0.03829,0.88767
CVE-2022-30490,0.01279,0.66389
CVE-2022-30493,0.02069,0.79038
CVE-2022-30494,0.00596,0.44015
CVE-2022-30495,0.0111,0.618
CVE-2022-30496,0.01209,0.64593
CVE-2022-30500,0.01011,0.58794
CVE-2022-30503,0.0028,0.19673
CVE-2022-30506,0.02539,0.83
CVE-2022-30508,0.01076,0.60813
CVE-2022-30510,0.03697,0.88348
CVE-2022-30511,0.03529,0.87793
CVE-2022-30512,0.09621,0.94881
CVE-2022-30513,0.03345,0.8715
CVE-2022-30514,0.03345,0.8715
CVE-2022-30515,0.00669,0.47289
CVE-2022-30516,0.01568,0.72256
CVE-2022-30517,0.00543,0.41469
CVE-2022-30518,0.01678,0.74008
CVE-2022-30519,0.02527,0.82908
CVE-2022-30521,0.13638,0.96006
CVE-2022-30522,0.90407,0.99787
CVE-2022-30523,0.00422,0.33797
CVE-2022-30524,0.01581,0.72457
CVE-2022-30525,0.99938,0.99969
CVE-2022-30526,0.01117,0.61991
CVE-2022-30527,0.00162,0.05829
CVE-2022-30528,0.01159,0.63136
CVE-2022-30529,0.00953,0.56876
CVE-2022-30530,0.00232,0.13906
CVE-2022-30531,0.00185,0.08328
CVE-2022-30532,0.0046,0.3657
CVE-2022-30533,0.00525,0.40469
CVE-2022-30534,0.74491,0.99431
CVE-2022-30535,0.00586,0.43606
CVE-2022-30536,0.00612,0.448
CVE-2022-30538,0.00732,0.49678
CVE-2022-30539,0.00211,0.11334
CVE-2022-30540,0.00908,0.55427
CVE-2022-30541,0.03174,0.86431
CVE-2022-30542,0.00188,0.08634
CVE-2022-30543,0.0085,0.53546
CVE-2022-30544,0.00271,0.18671
CVE-2022-30545,0.00437,0.34936
CVE-2022-30546,0.00732,0.49679
CVE-2022-30547,0.63666,0.99114
CVE-2022-30548,0.00157,0.05276
CVE-2022-30549,0.00868,0.54176
CVE-2022-30550,0.01748,0.75001
CVE-2022-30551,0.0216,0.79923
CVE-2022-30552,0.00439,0.35094
CVE-2022-30556,0.04687,0.90646
CVE-2022-30557,0.0412,0.89526
CVE-2022-30560,0.00789,0.5164
CVE-2022-30561,0.00701,0.48549
CVE-2022-30562,0.00664,0.47085
CVE-2022-30563,0.00856,0.53798
CVE-2022-30564,0.00438,0.35034
CVE-2022-30570,0.00603,0.44369
CVE-2022-30571,0.00418,0.33449
CVE-2022-30572,0.00976,0.57687
CVE-2022-30573,0.0065,0.46503
