#model_version:v2025.03.14,score_date:2025-08-30T12:55:00Z
cve,epss,percentile
CVE-2007-10001,0.00065,0.20498
CVE-2007-10002,0.00056,0.1737
CVE-2007-10003,0.00129,0.33165
CVE-2007-1000,0.00221,0.44674
CVE-2007-1001,0.15684,0.94447
CVE-2007-1002,0.10058,0.92787
CVE-2007-1003,0.07724,0.91579
CVE-2007-1004,0.00859,0.74117
CVE-2007-1005,0.02986,0.86018
CVE-2007-1006,0.03743,0.87558
CVE-2007-1007,0.12342,0.93631
CVE-2007-1008,0.07553,0.91455
CVE-2007-1009,0.00073,0.22771
CVE-2007-1010,0.18043,0.94916
CVE-2007-1011,0.05448,0.89805
CVE-2007-1012,0.00285,0.51595
CVE-2007-1013,0.05705,0.90071
CVE-2007-1014,0.2154,0.95503
CVE-2007-1015,0.00259,0.49023
CVE-2007-1016,0.00629,0.69341
CVE-2007-1017,0.10319,0.92897
CVE-2007-1018,0.00574,0.67757
CVE-2007-1019,0.00869,0.7427
CVE-2007-1020,0.13722,0.94015
CVE-2007-1021,0.00548,0.66907
CVE-2007-1022,0.00297,0.5262
CVE-2007-1023,0.00291,0.52046
CVE-2007-1024,0.02487,0.84714
CVE-2007-1025,0.04496,0.88693
CVE-2007-1026,0.02536,0.84876
CVE-2007-1027,0.00046,0.13542
CVE-2007-1028,0.00621,0.69142
CVE-2007-1029,0.1877,0.95042
CVE-2007-1030,0.01576,0.80835
CVE-2007-1031,0.02081,0.83301
CVE-2007-1032,0.00548,0.669
CVE-2007-1033,0.00286,0.51702
CVE-2007-1034,0.01678,0.81431
CVE-2007-1035,0.01113,0.77288
CVE-2007-1036,0.90349,0.99581
CVE-2007-1037,0.08611,0.92072
CVE-2007-1038,0.00603,0.68577
CVE-2007-1039,0.00391,0.59294
CVE-2007-1040,0.08088,0.91813
CVE-2007-1041,0.16502,0.94638
CVE-2007-1042,0.00102,0.28666
CVE-2007-1043,0.06037,0.90368
CVE-2007-1044,0.08289,0.91921
CVE-2007-1045,0.01346,0.79275
CVE-2007-1046,0.00463,0.63277
CVE-2007-1047,0.00721,0.71596
CVE-2007-1048,0.00585,0.68094
CVE-2007-1049,0.05798,0.90165
CVE-2007-1050,0.12437,0.93659
CVE-2007-1051,0.00071,0.22152
CVE-2007-1052,0.00974,0.75757
CVE-2007-1053,0.00988,0.75937
CVE-2007-1054,0.01962,0.82766
CVE-2007-1055,0.01293,0.78866
CVE-2007-1056,0.00028,0.06084
CVE-2007-1057,0.00147,0.35708
CVE-2007-1058,0.00661,0.70214
CVE-2007-1059,0.12512,0.93679
CVE-2007-1060,0.1634,0.94602
CVE-2007-1061,0.56277,0.98024
CVE-2007-1062,0.0414,0.88201
CVE-2007-1063,0.02756,0.85451
CVE-2007-1064,0.0007,0.22044
CVE-2007-1065,0.0007,0.22044
CVE-2007-1066,0.0007,0.22044
CVE-2007-1067,0.00077,0.23623
CVE-2007-1068,0.00091,0.26583
CVE-2007-1069,0.01197,0.78057
CVE-2007-1070,0.78115,0.98973
CVE-2007-1071,0.49838,0.97735
CVE-2007-1072,0.00095,0.27429
CVE-2007-1073,0.0098,0.75854
CVE-2007-1074,0.18949,0.95081
CVE-2007-1075,0.05067,0.8938
CVE-2007-1076,0.22187,0.95584
CVE-2007-1077,0.0046,0.63177
CVE-2007-1078,0.1166,0.93413
CVE-2007-1079,0.03645,0.87396
CVE-2007-1080,0.09446,0.92499
CVE-2007-1081,0.0067,0.70424
CVE-2007-1082,0.04045,0.8806
CVE-2007-1083,0.2824,0.96328
CVE-2007-1084,0.01048,0.76655
CVE-2007-1085,0.10082,0.92796
CVE-2007-1086,0.00068,0.21341
CVE-2007-1087,0.00076,0.2348
CVE-2007-1088,0.00076,0.2348
CVE-2007-1089,0.0005,0.15067
