#model_version:v2026.06.15,score_date:2026-06-17T12:03:21Z
cve,epss,percentile
CVE-2009-5000,0.00845,0.53162
CVE-2009-5001,0.01027,0.59086
CVE-2009-5002,0.01035,0.59368
CVE-2009-5003,0.01007,0.58453
CVE-2009-5004,0.02559,0.8304
CVE-2009-5005,0.05927,0.92309
CVE-2009-5006,0.04086,0.89401
CVE-2009-5007,0.00337,0.25296
CVE-2009-5008,0.00353,0.26958
CVE-2009-5009,0.0098,0.57607
CVE-2009-5010,0.01364,0.6818
CVE-2009-5011,0.00934,0.56043
CVE-2009-5012,0.01031,0.59229
CVE-2009-5013,0.01156,0.62882
CVE-2009-5014,0.01357,0.6802
CVE-2009-5015,0.01053,0.59892
CVE-2009-5016,0.02652,0.83663
CVE-2009-5017,0.01867,0.76553
CVE-2009-5018,0.10901,0.95306
CVE-2009-5019,0.02794,0.8456
CVE-2009-5020,0.03488,0.87608
CVE-2009-5021,0.01041,0.59536
CVE-2009-5022,0.10796,0.95274
CVE-2009-5023,0.0034,0.25712
CVE-2009-5024,0.02644,0.83611
CVE-2009-5025,0.01841,0.76208
CVE-2009-5026,0.07757,0.93869
CVE-2009-5028,0.04502,0.9027
CVE-2009-5029,0.08073,0.94063
CVE-2009-5030,0.04063,0.89346
CVE-2009-5031,0.0293,0.85272
CVE-2009-5032,0.01071,0.60464
CVE-2009-5033,0.00992,0.57991
CVE-2009-5034,0.01138,0.62381
CVE-2009-5035,0.00968,0.5717
CVE-2009-5036,0.01125,0.62045
CVE-2009-5037,0.02224,0.80391
CVE-2009-5038,0.03179,0.86388
CVE-2009-5039,0.01296,0.66577
CVE-2009-5040,0.02011,0.78308
CVE-2009-5041,0.01207,0.6434
CVE-2009-5042,0.01116,0.61769
CVE-2009-5043,0.0123,0.64997
CVE-2009-5044,0.00373,0.2898
CVE-2009-5045,0.02299,0.81031
CVE-2009-5046,0.01551,0.71855
CVE-2009-5048,0.01626,0.73041
CVE-2009-5049,0.01648,0.73404
CVE-2009-5050,0.01671,0.73769
CVE-2009-5051,0.01064,0.60245
CVE-2009-5052,0.01882,0.76751
CVE-2009-5053,0.02091,0.79179
CVE-2009-5054,0.01589,0.72455
CVE-2009-5055,0.00896,0.54806
CVE-2009-5056,0.00892,0.54683
CVE-2009-5057,0.01691,0.74079
CVE-2009-5058,0.00785,0.51243
CVE-2009-5059,0.00785,0.51243
CVE-2009-5060,0.00785,0.51242
CVE-2009-5061,0.00753,0.50167
CVE-2009-5062,0.00785,0.51241
CVE-2009-5063,0.01496,0.70808
CVE-2009-5064,0.00538,0.40977
CVE-2009-5065,0.0453,0.90321
CVE-2009-5066,0.00387,0.30293
CVE-2009-5067,0.0763,0.93786
CVE-2009-5068,0.01732,0.74654
CVE-2009-5071,0.02352,0.81484
CVE-2009-5072,0.00883,0.54407
CVE-2009-5073,0.00883,0.54406
CVE-2009-5074,0.01342,0.67658
CVE-2009-5075,0.00983,0.57685
CVE-2009-5076,0.01409,0.69115
CVE-2009-5077,0.01486,0.70639
CVE-2009-5078,0.02305,0.81073
CVE-2009-5079,0.00301,0.21591
CVE-2009-5080,0.00357,0.27375
CVE-2009-5081,0.00295,0.20978
CVE-2009-5082,0.0032,0.23546
CVE-2009-5083,0.0121,0.64427
CVE-2009-5084,0.0027,0.18395
CVE-2009-5085,0.01122,0.61956
CVE-2009-5086,0.01042,0.59561
CVE-2009-5087,0.03499,0.87642
CVE-2009-5088,0.01003,0.58369
CVE-2009-5089,0.02303,0.81056
CVE-2009-5090,0.02015,0.78349
CVE-2009-5091,0.01014,0.58687
CVE-2009-5092,0.12818,0.95782
CVE-2009-5093,0.02884,0.85036
CVE-2009-5094,0.02089,0.79159
CVE-2009-5095,0.01907,0.7705
CVE-2009-5096,0.01263,0.65805
CVE-2009-5097,0.0189,0.76857
CVE-2009-5098,0.04042,0.89296
CVE-2009-5099,0.01128,0.62129
CVE-2009-5100,0.00409,0.32405
CVE-2009-5101,0.01135,0.6229
CVE-2009-5102,0.02046,0.78681
CVE-2009-5103,0.02557,0.83028
CVE-2009-5109,0.32944,0.98138
CVE-2009-5110,0.01276,0.66129
CVE-2009-5111,0.01218,0.64654
CVE-2009-5112,0.05406,0.91651
CVE-2009-5113,0.0096,0.56832
CVE-2009-5114,0.13653,0.95994
CVE-2009-5115,0.01066,0.60345
CVE-2009-5116,0.01635,0.73203
CVE-2009-5117,0.00294,0.20899
CVE-2009-5118,0.01615,0.72849
CVE-2009-5119,0.01078,0.60673
CVE-2009-5120,0.00942,0.56302
CVE-2009-5121,0.01223,0.64823
CVE-2009-5122,0.01173,0.63383
CVE-2009-5123,0.02233,0.80469
CVE-2009-5124,0.02233,0.80468
CVE-2009-5125,0.03597,0.87961
CVE-2009-5126,0.02233,0.80469
CVE-2009-5127,0.02233,0.80468
CVE-2009-5128,0.01232,0.65053
CVE-2009-5129,0.0134,0.67602
CVE-2009-5130,0.01084,0.60842
CVE-2009-5131,0.01431,0.69541
CVE-2009-5132,0.0125,0.65496
CVE-2009-5134,0.07707,0.93833
CVE-2009-5135,0.0992,0.94978
CVE-2009-5136,0.01927,0.77304
CVE-2009-5137,0.03874,0.88839
CVE-2009-5138,0.01799,0.75624
CVE-2009-5139,0.00373,0.28941
CVE-2009-5140,0.01361,0.68127
CVE-2009-5141,0.02795,0.8457
CVE-2009-5142,0.0124,0.65247
CVE-2009-5143,0.01679,0.739
CVE-2009-5144,0.0086,0.5369
CVE-2009-5145,0.02055,0.78773
CVE-2009-5147,0.07766,0.93873
CVE-2009-5149,0.02479,0.82481
CVE-2009-5150,0.00545,0.41298
CVE-2009-5151,0.00501,0.38774
CVE-2009-5152,0.00208,0.1086
CVE-2009-5153,0.06117,0.9251
CVE-2009-5154,0.02337,0.81362
