#model_version:v2025.03.14,score_date:2026-06-07T12:55:00Z
cve,epss,percentile
CVE-2023-1000,0.0082,0.74764
CVE-2023-1001,0.00141,0.33947
CVE-2023-1002,0.0056,0.68686
CVE-2023-1003,0.00166,0.37374
CVE-2023-1004,0.00154,0.35887
CVE-2023-1005,0.00159,0.3656
CVE-2023-1006,0.00102,0.27558
CVE-2023-1007,0.00344,0.5732
CVE-2023-1008,0.00146,0.34748
CVE-2023-1009,0.03453,0.87756
CVE-2023-1010,0.00092,0.25855
CVE-2023-1011,0.00093,0.26127
CVE-2023-1013,0.00338,0.5688
CVE-2023-1014,0.00265,0.50251
CVE-2023-1016,0.00161,0.3673
CVE-2023-1017,0.00674,0.71838
CVE-2023-1018,0.00633,0.70772
CVE-2023-1019,0.00181,0.39576
CVE-2023-1020,0.73648,0.9883
CVE-2023-1021,0.00207,0.43084
CVE-2023-1022,0.00233,0.46329
CVE-2023-1023,0.00233,0.46329
CVE-2023-1024,0.00177,0.39055
CVE-2023-1025,0.00226,0.45461
CVE-2023-1026,0.00241,0.47574
CVE-2023-1027,0.00177,0.39046
CVE-2023-1028,0.00093,0.26027
CVE-2023-1029,0.00092,0.25823
CVE-2023-1030,0.00353,0.57969
CVE-2023-1031,0.01105,0.78457
CVE-2023-1032,0.00065,0.20396
CVE-2023-1033,0.00206,0.42937
CVE-2023-1034,0.01698,0.82647
CVE-2023-1035,0.00291,0.52844
CVE-2023-1036,0.00303,0.53944
CVE-2023-1037,0.00355,0.58158
CVE-2023-1038,0.00306,0.54167
CVE-2023-1039,0.00291,0.52844
CVE-2023-1040,0.00291,0.52844
CVE-2023-1041,0.00245,0.47993
CVE-2023-1042,0.00245,0.47993
CVE-2023-1043,0.0025,0.48583
CVE-2023-1044,0.0055,0.68357
CVE-2023-1045,0.00381,0.59858
CVE-2023-1046,0.00294,0.53029
CVE-2023-1047,0.00187,0.40377
CVE-2023-1048,0.00177,0.3895
CVE-2023-1049,0.00121,0.30717
CVE-2023-1050,0.0025,0.48545
CVE-2023-1051,0.00234,0.46494
CVE-2023-1053,0.00182,0.39735
CVE-2023-1054,0.00218,0.44506
CVE-2023-1055,0.00063,0.19914
CVE-2023-1056,0.00291,0.52844
CVE-2023-1057,0.00291,0.52844
CVE-2023-1058,0.00291,0.52844
CVE-2023-1059,0.00169,0.37807
CVE-2023-1060,0.00234,0.46494
CVE-2023-1061,0.00169,0.37807
CVE-2023-1062,0.00291,0.52844
CVE-2023-1063,0.00339,0.56984
CVE-2023-1064,0.00193,0.41069
CVE-2023-1065,0.0028,0.51648
CVE-2023-1067,0.00017,0.04571
CVE-2023-1068,0.00092,0.25823
CVE-2023-1069,0.00252,0.48771
CVE-2023-1070,0.00334,0.56499
CVE-2023-1071,0.00094,0.26174
CVE-2023-1072,0.00363,0.58721
CVE-2023-1073,0.0002,0.05819
CVE-2023-1074,0.00013,0.0204
CVE-2023-1075,0.0001,0.01269
CVE-2023-1076,9e-05,0.01078
CVE-2023-1077,0.00024,0.06901
CVE-2023-1078,0.00023,0.06683
CVE-2023-1079,0.00023,0.06712
