#model_version:v2025.03.14,score_date:2026-02-12T12:55:00Z
cve,epss,percentile
CVE-2024-9000,0.00033,0.09058
CVE-2024-9001,0.01315,0.79514
CVE-2024-9002,0.0004,0.12102
CVE-2024-9003,0.00134,0.33269
CVE-2024-9004,0.1267,0.93811
CVE-2024-9005,0.00172,0.38502
CVE-2024-9006,0.00239,0.46729
CVE-2024-9007,0.03711,0.8769
CVE-2024-9008,0.00112,0.29907
CVE-2024-9009,0.00105,0.28677
CVE-2024-9011,0.00105,0.28677
CVE-2024-9014,0.92879,0.99761
CVE-2024-9017,0.00033,0.09101
CVE-2024-9018,0.00478,0.6446
CVE-2024-9019,0.00077,0.22847
CVE-2024-9020,0.00069,0.21222
CVE-2024-9021,0.00487,0.6488
CVE-2024-9022,0.01112,0.77794
CVE-2024-9023,0.00124,0.31765
CVE-2024-9024,0.00124,0.31765
CVE-2024-9025,0.00291,0.52097
CVE-2024-9026,0.00661,0.70665
CVE-2024-9027,0.00172,0.38525
CVE-2024-9028,0.00172,0.38525
CVE-2024-9029,0.00132,0.32969
CVE-2024-9030,0.00127,0.3218
CVE-2024-9031,0.00129,0.32537
CVE-2024-9032,0.00152,0.35957
CVE-2024-9033,0.00122,0.31483
CVE-2024-9034,0.00085,0.24633
CVE-2024-9035,0.00085,0.24633
CVE-2024-9036,0.00129,0.32589
CVE-2024-9037,0.0009,0.25628
CVE-2024-9038,0.00185,0.40114
CVE-2024-9039,0.00106,0.28885
CVE-2024-9040,0.00015,0.02576
CVE-2024-9041,0.00065,0.20023
CVE-2024-9042,0.0007,0.21403
CVE-2024-9043,0.00059,0.18396
CVE-2024-9044,0.0004,0.11999
CVE-2024-9046,0.00064,0.1999
CVE-2024-9047,0.93618,0.99829
CVE-2024-9048,0.00136,0.33549
CVE-2024-9049,0.00163,0.37349
CVE-2024-9050,0.00037,0.10849
CVE-2024-9051,0.00187,0.405
CVE-2024-9053,0.02179,0.84005
CVE-2024-9054,0.21539,0.95578
CVE-2024-9055,0.00041,0.1214
CVE-2024-9056,0.00151,0.35714
CVE-2024-9057,0.00249,0.47866
CVE-2024-9058,0.0019,0.40762
CVE-2024-9059,0.00144,0.34768
CVE-2024-9060,0.00134,0.33273
CVE-2024-9061,0.89,0.99512
CVE-2024-9062,0.00016,0.02931
CVE-2024-9064,0.00115,0.30464
CVE-2024-9065,0.00498,0.65326
CVE-2024-9066,0.00176,0.39022
CVE-2024-9067,0.00206,0.42659
CVE-2024-9068,0.00144,0.34788
CVE-2024-9069,0.00144,0.34788
CVE-2024-9070,0.00254,0.48366
CVE-2024-9071,0.00187,0.40431
CVE-2024-9072,0.00176,0.39022
CVE-2024-9073,0.00161,0.37032
CVE-2024-9074,0.00176,0.39022
CVE-2024-9075,0.00126,0.32131
CVE-2024-9076,0.01855,0.82681
CVE-2024-9077,0.0012,0.31118
CVE-2024-9078,0.00088,0.25138
CVE-2024-9079,0.00093,0.26211
