#model_version:v2026.06.15,score_date:2026-08-02T12:03:13Z
cve,epss,percentile
CVE-2019-4000,0.00733,0.50809
CVE-2019-4001,0.00566,0.43769
CVE-2019-4008,0.02272,0.81334
CVE-2019-4011,0.00673,0.48537
CVE-2019-4012,0.0209,0.79755
CVE-2019-4013,0.13857,0.9615
CVE-2019-4014,0.00508,0.40583
CVE-2019-4015,0.00531,0.41917
CVE-2019-4016,0.00531,0.41917
CVE-2019-4027,0.00968,0.58383
CVE-2019-4028,0.00968,0.58384
CVE-2019-4029,0.00968,0.58384
CVE-2019-4030,0.00695,0.49413
CVE-2019-4031,0.00309,0.23269
CVE-2019-4032,0.01551,0.72642
CVE-2019-4033,0.00673,0.48538
CVE-2019-4034,0.01932,0.78002
CVE-2019-4035,0.00922,0.5686
CVE-2019-4036,0.01382,0.69453
CVE-2019-4038,0.00439,0.36111
CVE-2019-4039,0.00316,0.24068
CVE-2019-4040,0.01325,0.68145
CVE-2019-4043,0.02425,0.82571
CVE-2019-4045,0.00873,0.55362
CVE-2019-4046,0.0322,0.86966
CVE-2019-4047,0.01497,0.71662
CVE-2019-4048,0.00307,0.23074
CVE-2019-4049,0.00326,0.25114
CVE-2019-4051,0.01704,0.74988
CVE-2019-4052,0.01907,0.77704
CVE-2019-4054,0.00334,0.25991
CVE-2019-4055,0.02147,0.80288
CVE-2019-4056,0.00863,0.55033
CVE-2019-4057,0.00459,0.37567
CVE-2019-4058,0.00925,0.56942
CVE-2019-4059,0.01693,0.7483
CVE-2019-4061,0.22547,0.97477
CVE-2019-4062,0.01554,0.72687
CVE-2019-4063,0.01045,0.60775
CVE-2019-4066,0.02062,0.7945
CVE-2019-4067,0.01471,0.71212
CVE-2019-4068,0.01484,0.7144
CVE-2019-4069,0.0143,0.70392
CVE-2019-4070,0.00673,0.4854
CVE-2019-4071,0.04302,0.90169
CVE-2019-4072,0.00812,0.53431
CVE-2019-4073,0.00679,0.48789
CVE-2019-4074,0.00673,0.48537
CVE-2019-4075,0.00673,0.48541
CVE-2019-4076,0.00673,0.48539
CVE-2019-4077,0.00673,0.48539
CVE-2019-4078,0.0039,0.31809
CVE-2019-4080,0.03068,0.86318
CVE-2019-4083,0.00679,0.48789
CVE-2019-4084,0.01003,0.59492
CVE-2019-4086,0.01194,0.64946
CVE-2019-4087,0.06959,0.93467
CVE-2019-4088,0.00529,0.41789
CVE-2019-4090,0.00537,0.42244
CVE-2019-4091,0.00521,0.41376
CVE-2019-4092,0.00786,0.52552
CVE-2019-4093,0.00334,0.25968
CVE-2019-4094,0.00406,0.33361
CVE-2019-4095,0.00403,0.33182
CVE-2019-4098,0.00561,0.435
CVE-2019-4101,0.00393,0.32108
CVE-2019-4102,0.01179,0.64555
CVE-2019-4103,0.01451,0.70778
CVE-2019-4106,0.00662,0.48098
CVE-2019-4109,0.0125,0.66451
CVE-2019-4112,0.0034,0.26643
CVE-2019-4115,0.00673,0.48542
CVE-2019-4116,0.00357,0.284
CVE-2019-4117,0.00555,0.43173
CVE-2019-4118,0.00381,0.30834
CVE-2019-4119,0.01022,0.60034
CVE-2019-4120,0.00679,0.48788
CVE-2019-4129,0.0159,0.73226
CVE-2019-4130,0.01957,0.78299
CVE-2019-4131,0.01524,0.72147
CVE-2019-4132,0.00351,0.27847
CVE-2019-4133,0.0032,0.24447
CVE-2019-4134,0.00901,0.562
CVE-2019-4135,0.01534,0.72322
CVE-2019-4136,0.00673,0.48542
CVE-2019-4137,0.01283,0.67244
CVE-2019-4138,0.02094,0.79798
CVE-2019-4139,0.00996,0.59252
CVE-2019-4140,0.00309,0.23255
CVE-2019-4141,0.01335,0.68394
CVE-2019-4142,0.00547,0.42792
CVE-2019-4143,0.00356,0.28365
CVE-2019-4145,0.00352,0.27902
CVE-2019-4146,0.01094,0.62247
CVE-2019-4147,0.01265,0.66829
CVE-2019-4148,0.00619,0.46241
CVE-2019-4149,0.00679,0.4879
CVE-2019-4150,0.00578,0.44356
CVE-2019-4151,0.00869,0.55248
CVE-2019-4152,0.00313,0.23762
CVE-2019-4153,0.01012,0.59767
CVE-2019-4154,0.00531,0.41916
CVE-2019-4155,0.02626,0.83974
CVE-2019-4156,0.00869,0.55248
CVE-2019-4157,0.00894,0.55966
CVE-2019-4158,0.00684,0.49008
CVE-2019-4160,0.00578,0.44347
CVE-2019-4161,0.00348,0.27534
CVE-2019-4162,0.00595,0.45076
CVE-2019-4163,0.00994,0.59197
CVE-2019-4165,0.02165,0.8044
CVE-2019-4166,0.01453,0.70846
CVE-2019-4167,0.00494,0.39728
CVE-2019-4169,0.0171,0.75083
CVE-2019-4171,0.00642,0.47253
CVE-2019-4173,0.01814,0.76518
CVE-2019-4174,0.0034,0.26644
CVE-2019-4175,0.00966,0.58266
CVE-2019-4176,0.01881,0.77392
CVE-2019-4177,0.0034,0.26644
CVE-2019-4178,0.03067,0.86316
CVE-2019-4183,0.03518,0.88051
CVE-2019-4184,0.00955,0.57939
CVE-2019-4185,0.0059,0.44877
CVE-2019-4186,0.01581,0.73087
CVE-2019-4193,0.02096,0.79814
CVE-2019-4194,0.01361,0.69021
CVE-2019-4201,0.01035,0.60479
CVE-2019-4202,0.04223,0.90004
CVE-2019-4203,0.01725,0.75277
CVE-2019-4204,0.00955,0.5794
CVE-2019-4207,0.00331,0.25675
CVE-2019-4208,0.01888,0.77478
CVE-2019-4209,0.00642,0.47258
CVE-2019-4210,0.02248,0.81142
CVE-2019-4211,0.00673,0.48535
CVE-2019-4212,0.00547,0.42792
CVE-2019-4214,0.00477,0.38724
CVE-2019-4215,0.00897,0.56072
CVE-2019-4216,0.00611,0.4586
CVE-2019-4217,0.01183,0.64682
CVE-2019-4218,0.0034,0.26644
CVE-2019-4219,0.01269,0.66897
CVE-2019-4220,0.00211,0.11487
CVE-2019-4222,0.01174,0.64405
CVE-2019-4224,0.01364,0.69082
CVE-2019-4225,0.0035,0.2774
CVE-2019-4226,0.00561,0.43501
CVE-2019-4227,0.01113,0.62771
CVE-2019-4231,0.00721,0.50352
CVE-2019-4234,0.00896,0.56042
CVE-2019-4235,0.01471,0.71212
CVE-2019-4236,0.00321,0.24571
CVE-2019-4237,0.00673,0.48539
CVE-2019-4238,0.00673,0.4854
CVE-2019-4239,0.00309,0.23338
CVE-2019-4241,0.00386,0.31373
CVE-2019-4243,0.00314,0.23786
CVE-2019-4244,0.02134,0.80172
CVE-2019-4246,0.01197,0.65027
CVE-2019-4249,0.00673,0.48541
CVE-2019-4250,0.00673,0.48541
CVE-2019-4252,0.03366,0.87536
CVE-2019-4253,0.00416,0.34258
CVE-2019-4256,0.01325,0.68146
CVE-2019-4257,0.00994,0.59198
CVE-2019-4258,0.00987,0.58961
CVE-2019-4259,0.00353,0.27976
CVE-2019-4260,0.01301,0.67632
CVE-2019-4261,0.02352,0.82025
CVE-2019-4262,0.00954,0.579
CVE-2019-4263,0.00916,0.56703
CVE-2019-4264,0.01013,0.598
CVE-2019-4265,0.00366,0.29319
CVE-2019-4266,0.00322,0.24686
CVE-2019-4267,0.00443,0.36411
CVE-2019-4268,0.02665,0.84229
CVE-2019-4269,0.02746,0.8472
CVE-2019-4270,0.00708,0.49906
CVE-2019-4271,0.00819,0.53651
CVE-2019-4275,0.00314,0.238
CVE-2019-4279,0.79926,0.99573
CVE-2019-4280,0.00827,0.53885
CVE-2019-4284,0.0035,0.2774
CVE-2019-4285,0.01077,0.61721
CVE-2019-4286,0.00354,0.28091
CVE-2019-4288,0.00354,0.28091
CVE-2019-4291,0.00446,0.36684
CVE-2019-4292,0.03741,0.88756
CVE-2019-4293,0.01759,0.75762
CVE-2019-4294,0.00945,0.57625
CVE-2019-4295,0.01132,0.6327
CVE-2019-4296,0.00298,0.22105
CVE-2019-4297,0.01058,0.61151
CVE-2019-4298,0.00319,0.24356
CVE-2019-4299,0.00277,0.19929
CVE-2019-4301,0.01215,0.65545
CVE-2019-4303,0.00987,0.58961
CVE-2019-4304,0.01011,0.5973
CVE-2019-4305,0.0149,0.71546
CVE-2019-4306,0.01023,0.60107
CVE-2019-4307,0.00279,0.20193
CVE-2019-4308,0.00994,0.59197
CVE-2019-4309,0.00279,0.20194
CVE-2019-4310,0.02204,0.8079
CVE-2019-4311,0.01245,0.66321
CVE-2019-4314,0.00976,0.5865
CVE-2019-4321,0.01471,0.71212
CVE-2019-4322,0.00531,0.41916
CVE-2019-4323,0.0075,0.514
CVE-2019-4324,0.00648,0.47507
CVE-2019-4325,0.00542,0.42531
CVE-2019-4326,0.01071,0.61559
CVE-2019-4327,0.01015,0.59859
CVE-2019-4329,0.00897,0.56067
CVE-2019-4330,0.01116,0.62844
CVE-2019-4334,0.00921,0.56814
CVE-2019-4335,0.00287,0.21006
CVE-2019-4336,0.02006,0.78869
CVE-2019-4337,0.01358,0.68948
CVE-2019-4338,0.01726,0.75284
CVE-2019-4339,0.00976,0.58651
CVE-2019-4340,0.02427,0.82593
CVE-2019-4342,0.00987,0.5896
CVE-2019-4343,0.01459,0.70951
CVE-2019-4349,0.0033,0.25563
CVE-2019-4351,0.00244,0.15738
CVE-2019-4352,0.00253,0.1688
CVE-2019-4357,0.00458,0.37484
CVE-2019-4364,0.02615,0.83892
CVE-2019-4366,0.00721,0.50347
CVE-2019-4377,0.0134,0.68524
CVE-2019-4378,0.01619,0.73678
CVE-2019-4381,0.00351,0.27828
CVE-2019-4382,0.07832,0.94081
CVE-2019-4383,0.00401,0.32909
CVE-2019-4384,0.02284,0.81443
CVE-2019-4385,0.00334,0.25983
CVE-2019-4386,0.0207,0.79537
CVE-2019-4387,0.00972,0.58515
CVE-2019-4388,0.00523,0.41485
CVE-2019-4391,0.01231,0.65974
CVE-2019-4392,0.01387,0.69558
CVE-2019-4393,0.01032,0.60362
CVE-2019-4394,0.00285,0.20743
CVE-2019-4395,0.00307,0.23085
CVE-2019-4396,0.00669,0.48394
CVE-2019-4397,0.00957,0.57979
CVE-2019-4398,0.00307,0.23085
CVE-2019-4399,0.00792,0.52764
CVE-2019-4400,0.01359,0.68956
CVE-2019-4402,0.01638,0.73996
CVE-2019-4403,0.00673,0.48542
CVE-2019-4406,0.003,0.22344
CVE-2019-4409,0.00521,0.41376
CVE-2019-4410,0.00987,0.58961
CVE-2019-4411,0.00816,0.53563
CVE-2019-4412,0.00981,0.58812
