#model_version:v2025.03.14,score_date:2026-01-24T12:55:00Z
cve,epss,percentile
CVE-2007-5000,0.86401,0.99386
CVE-2007-5001,0.00045,0.13738
CVE-2007-5003,0.82085,0.99175
CVE-2007-5004,0.13027,0.93885
CVE-2007-5005,0.03654,0.87546
CVE-2007-5006,0.01783,0.823
CVE-2007-5007,0.0122,0.78694
CVE-2007-5008,0.01092,0.77528
CVE-2007-5009,0.15812,0.9454
CVE-2007-5010,0.00574,0.68159
CVE-2007-5011,0.04786,0.89184
CVE-2007-5012,0.00285,0.51593
CVE-2007-5013,0.00285,0.51593
CVE-2007-5014,0.00614,0.69343
CVE-2007-5015,0.15675,0.94511
CVE-2007-5016,0.00486,0.64836
CVE-2007-5017,0.06732,0.91034
CVE-2007-5018,0.19538,0.95226
CVE-2007-5019,0.10101,0.92888
CVE-2007-5020,0.36906,0.97028
CVE-2007-5022,0.00789,0.73398
CVE-2007-5023,0.00072,0.22267
CVE-2007-5024,0.00062,0.19693
CVE-2007-5025,0.0027,0.50199
CVE-2007-5026,0.05992,0.9042
CVE-2007-5027,0.04183,0.88408
CVE-2007-5028,0.00244,0.47514
CVE-2007-5029,0.01348,0.79721
CVE-2007-5030,0.01176,0.78329
CVE-2007-5031,0.01176,0.78329
CVE-2007-5032,0.00021,0.04616
CVE-2007-5033,0.00407,0.60636
CVE-2007-5034,0.02146,0.83822
CVE-2007-5035,0.00784,0.73278
CVE-2007-5036,0.06929,0.9117
CVE-2007-5037,0.01863,0.82649
CVE-2007-5038,0.00994,0.76483
CVE-2007-5039,0.0015,0.35982
CVE-2007-5040,0.00147,0.35654
CVE-2007-5041,0.0007,0.21864
CVE-2007-5042,0.0007,0.21864
CVE-2007-5043,0.00056,0.17807
CVE-2007-5044,0.00047,0.14563
CVE-2007-5045,0.02046,0.83447
CVE-2007-5046,0.00381,0.59045
CVE-2007-5047,0.00056,0.17757
CVE-2007-5048,0.06287,0.90682
CVE-2007-5050,0.06528,0.90864
CVE-2007-5051,0.00351,0.57088
CVE-2007-5052,0.02658,0.85398
CVE-2007-5053,0.03978,0.88096
CVE-2007-5054,0.78514,0.98993
CVE-2007-5055,0.03659,0.8756
CVE-2007-5056,0.81715,0.99154
CVE-2007-5057,0.01918,0.82923
CVE-2007-5058,0.00792,0.73441
CVE-2007-5059,0.00569,0.67999
CVE-2007-5060,0.00313,0.54055
CVE-2007-5061,0.00884,0.74976
CVE-2007-5062,0.04882,0.89288
CVE-2007-5063,0.03039,0.86299
CVE-2007-5064,0.05693,0.90154
CVE-2007-5065,0.64909,0.98414
CVE-2007-5066,0.0122,0.78689
CVE-2007-5067,0.82981,0.99228
CVE-2007-5068,0.0047,0.64052
CVE-2007-5069,0.06528,0.90864
CVE-2007-5070,0.22241,0.95636
CVE-2007-5071,0.02165,0.83897
CVE-2007-5072,0.00508,0.65758
CVE-2007-5078,0.00508,0.65758
CVE-2007-5079,0.00289,0.52004
CVE-2007-5080,0.34513,0.96876
CVE-2007-5081,0.08765,0.92281
CVE-2007-5082,0.70512,0.98646
CVE-2007-5083,0.38068,0.97102
CVE-2007-5084,0.01613,0.814
CVE-2007-5085,0.00699,0.71514
CVE-2007-5086,0.00061,0.19194
CVE-2007-5087,0.00111,0.30203
CVE-2007-5088,0.00351,0.57088
CVE-2007-5089,0.10348,0.92992
CVE-2007-5090,0.00958,0.76004
CVE-2007-5091,0.00351,0.57088
CVE-2007-5092,0.06299,0.9069
CVE-2007-5093,0.00061,0.19369
CVE-2007-5094,0.05266,0.89704
CVE-2007-5095,0.31962,0.96685
CVE-2007-5096,0.00501,0.65428
CVE-2007-5097,0.00786,0.73335
CVE-2007-5098,0.32475,0.96726
CVE-2007-5099,0.82971,0.99227
CVE-2007-5100,0.01228,0.78774
CVE-2007-5101,0.00051,0.16245
CVE-2007-5102,0.57876,0.98105
CVE-2007-5103,0.00276,0.50699
CVE-2007-5104,0.00451,0.63213
CVE-2007-5105,0.01681,0.81787
CVE-2007-5106,0.00357,0.5748
CVE-2007-5107,0.76187,0.98883
CVE-2007-5108,0.02477,0.84903
CVE-2007-5109,0.00179,0.39685
CVE-2007-5110,0.09389,0.92566
CVE-2007-5111,0.04736,0.89116
CVE-2007-5112,0.08802,0.92294
CVE-2007-5113,0.04811,0.89208
CVE-2007-5114,0.00661,0.70637
CVE-2007-5115,0.00544,0.67198
CVE-2007-5116,0.11413,0.93374
CVE-2007-5117,0.04412,0.88708
CVE-2007-5118,0.0006,0.18927
CVE-2007-5119,0.00551,0.67439
CVE-2007-5120,0.05032,0.89457
CVE-2007-5121,0.00508,0.65758
CVE-2007-5122,0.00462,0.6369
