#model_version:v2026.06.15,score_date:2026-07-13T12:00:30Z
cve,epss,percentile
CVE-2013-0001,0.13553,0.96015
CVE-2013-0002,0.25118,0.97678
CVE-2013-0003,0.23843,0.97564
CVE-2013-0004,0.21423,0.97322
CVE-2013-0005,0.32096,0.98116
CVE-2013-0006,0.28084,0.97879
CVE-2013-0007,0.31574,0.98083
CVE-2013-0008,0.17089,0.96719
CVE-2013-0009,0.1364,0.96038
CVE-2013-0010,0.16618,0.96646
CVE-2013-0011,0.30279,0.9801
CVE-2013-0013,0.06351,0.92832
CVE-2013-0015,0.15853,0.965
CVE-2013-0018,0.19905,0.97124
CVE-2013-0019,0.34923,0.98244
CVE-2013-0020,0.28331,0.97896
CVE-2013-0021,0.21185,0.97297
CVE-2013-0022,0.16805,0.96678
CVE-2013-0023,0.18572,0.9692
CVE-2013-0024,0.19905,0.97124
CVE-2013-0025,0.55765,0.98927
CVE-2013-0026,0.19905,0.97124
CVE-2013-0027,0.19905,0.97123
CVE-2013-0028,0.19905,0.97123
CVE-2013-0029,0.30339,0.98014
CVE-2013-0030,0.26696,0.9779
CVE-2013-0073,0.29632,0.97974
CVE-2013-0074,0.81868,0.99609
CVE-2013-0075,0.69936,0.99296
CVE-2013-0076,0.01791,0.75811
CVE-2013-0077,0.24242,0.976
CVE-2013-0078,0.01806,0.76031
CVE-2013-0079,0.26684,0.97788
CVE-2013-0080,0.1929,0.97018
CVE-2013-0081,0.74879,0.99448
CVE-2013-0082,0.18682,0.96936
CVE-2013-0083,0.14333,0.96192
CVE-2013-0084,0.2135,0.97313
CVE-2013-0085,0.33975,0.98205
CVE-2013-0086,0.23969,0.97578
CVE-2013-0087,0.18477,0.96905
CVE-2013-0088,0.19804,0.97105
CVE-2013-0089,0.18477,0.96906
CVE-2013-0090,0.38223,0.98391
CVE-2013-0091,0.19804,0.97105
CVE-2013-0092,0.28194,0.97885
CVE-2013-0093,0.18477,0.96905
CVE-2013-0094,0.18477,0.96905
CVE-2013-0095,0.20801,0.97254
CVE-2013-0096,0.16097,0.96546
CVE-2013-0107,0.03891,0.89026
CVE-2013-0108,0.26639,0.97786
CVE-2013-0109,0.04472,0.90345
CVE-2013-0110,0.0036,0.28127
CVE-2013-0111,0.0036,0.28128
CVE-2013-0113,0.0322,0.86752
CVE-2013-0118,0.01724,0.74864
CVE-2013-0120,0.01465,0.70618
CVE-2013-0122,0.00359,0.27982
CVE-2013-0123,0.01468,0.707
CVE-2013-0124,0.01141,0.62916
CVE-2013-0125,0.01682,0.74292
CVE-2013-0126,0.02938,0.85506
CVE-2013-0127,0.03787,0.88724
CVE-2013-0128,0.01308,0.67246
CVE-2013-0129,0.00815,0.52819
CVE-2013-0130,0.0226,0.80937
CVE-2013-0131,0.04807,0.90923
CVE-2013-0132,0.0126,0.66179
CVE-2013-0133,0.00395,0.31694
CVE-2013-0134,0.01012,0.59135
CVE-2013-0135,0.02978,0.857
CVE-2013-0136,0.40338,0.98475
CVE-2013-0137,0.13446,0.95989
CVE-2013-0138,0.04752,0.90836
CVE-2013-0139,0.01598,0.72927
CVE-2013-0140,0.02544,0.83164
CVE-2013-0141,0.01116,0.62271
CVE-2013-0142,0.01308,0.67246
CVE-2013-0143,0.06965,0.9338
CVE-2013-0144,0.00619,0.45504
CVE-2013-0145,0.08868,0.94606
CVE-2013-0148,0.00691,0.48535
CVE-2013-0149,0.02476,0.82681
CVE-2013-0150,0.06316,0.92802
CVE-2013-0151,0.00603,0.44717
CVE-2013-0152,0.00373,0.29399
CVE-2013-0153,0.00411,0.33153
CVE-2013-0154,0.00372,0.29375
CVE-2013-0155,0.08245,0.94242
CVE-2013-0156,0.99449,0.99939
CVE-2013-0157,0.00375,0.29634
CVE-2013-0158,0.02455,0.8253
CVE-2013-0159,0.00345,0.26549
CVE-2013-0160,0.00732,0.5007
CVE-2013-0161,0.00972,0.57853
CVE-2013-0162,0.00343,0.26398
CVE-2013-0163,0.00305,0.22363
CVE-2013-0164,0.00365,0.28659
CVE-2013-0165,0.00813,0.52733
CVE-2013-0166,0.1965,0.9708
CVE-2013-0167,0.00562,0.42841
CVE-2013-0168,0.01919,0.77508
CVE-2013-0169,0.35584,0.98269
CVE-2013-0170,0.05774,0.92215
CVE-2013-0171,0.02974,0.85677
CVE-2013-0172,0.02426,0.82301
CVE-2013-0173,0.01118,0.62313
CVE-2013-0174,0.01667,0.74035
CVE-2013-0175,0.03655,0.88309
CVE-2013-0176,0.03049,0.86006
CVE-2013-0177,0.2123,0.97302
CVE-2013-0178,0.00415,0.33549
CVE-2013-0179,0.01498,0.71262
CVE-2013-0180,0.00323,0.24249
CVE-2013-0181,0.0135,0.68228
CVE-2013-0182,0.01369,0.68689
CVE-2013-0183,0.03778,0.88695
CVE-2013-0184,0.02418,0.8224
CVE-2013-0185,0.00746,0.50525
CVE-2013-0186,0.00914,0.55946
CVE-2013-0187,0.01078,0.61148
CVE-2013-0189,0.23026,0.97487
CVE-2013-0190,0.00366,0.28686
CVE-2013-0191,0.01758,0.75351
CVE-2013-0192,0.0376,0.88636
CVE-2013-0193,0.01161,0.63486
CVE-2013-0194,0.01161,0.63487
CVE-2013-0195,0.01161,0.63487
CVE-2013-0196,0.00435,0.35087
CVE-2013-0197,0.01995,0.78367
CVE-2013-0198,0.02795,0.84782
CVE-2013-0199,0.02118,0.79694
CVE-2013-0200,0.00379,0.30026
CVE-2013-0201,0.02164,0.80116
CVE-2013-0202,0.0095,0.57142
CVE-2013-0203,0.00724,0.49757
CVE-2013-0204,0.00897,0.55387
CVE-2013-0205,0.00673,0.47831
CVE-2013-0206,0.01857,0.76725
CVE-2013-0207,0.00643,0.46567
CVE-2013-0208,0.02505,0.82882
CVE-2013-0209,0.45201,0.9864
CVE-2013-0210,0.01853,0.76674
CVE-2013-0211,0.03926,0.89142
CVE-2013-0212,0.02965,0.85639
CVE-2013-0213,0.03248,0.86871
CVE-2013-0214,0.01906,0.77335
CVE-2013-0215,0.0059,0.44159
CVE-2013-0216,0.00988,0.58385
CVE-2013-0217,0.00565,0.43015
CVE-2013-0218,0.00366,0.28683
CVE-2013-0219,0.00366,0.28711
CVE-2013-0220,0.03324,0.87184
CVE-2013-0221,0.07238,0.93604
CVE-2013-0222,0.00384,0.30493
CVE-2013-0223,0.00507,0.39747
CVE-2013-0224,0.00303,0.22143
CVE-2013-0225,0.01041,0.60003
CVE-2013-0226,0.00945,0.56938
CVE-2013-0227,0.00941,0.5682
CVE-2013-0228,0.00394,0.31609
CVE-2013-0229,0.76396,0.99482
CVE-2013-0230,0.69151,0.99275
CVE-2013-0231,0.0044,0.35513
CVE-2013-0232,0.47895,0.98715
CVE-2013-0233,0.14126,0.96146
CVE-2013-0234,0.01457,0.7045
CVE-2013-0235,0.28857,0.97927
CVE-2013-0236,0.0248,0.82704
CVE-2013-0237,0.03135,0.86381
CVE-2013-0238,0.09962,0.95049
CVE-2013-0239,0.04687,0.90719
CVE-2013-0240,0.01362,0.68539
CVE-2013-0241,0.00385,0.30659
CVE-2013-0242,0.02851,0.8508
CVE-2013-0243,0.01047,0.60197
CVE-2013-0244,0.02144,0.79937
CVE-2013-0245,0.01887,0.77099
CVE-2013-0246,0.02104,0.79572
CVE-2013-0247,0.03243,0.86852
CVE-2013-0248,0.0068,0.48091
CVE-2013-0249,0.22913,0.97476
CVE-2013-0250,0.03077,0.86138
CVE-2013-0251,0.04977,0.91201
CVE-2013-0252,0.0287,0.85172
CVE-2013-0253,0.0157,0.72489
CVE-2013-0254,0.00422,0.34111
CVE-2013-0255,0.03592,0.88086
CVE-2013-0256,0.03622,0.88178
CVE-2013-0257,0.01173,0.63823
CVE-2013-0258,0.01394,0.69195
CVE-2013-0259,0.00941,0.5682
CVE-2013-0260,0.00312,0.23167
CVE-2013-0261,0.00346,0.2668
CVE-2013-0262,0.02952,0.85572
CVE-2013-0263,0.05281,0.91619
