#model_version:v2025.03.14,score_date:2025-12-08T12:55:00Z
cve,epss,percentile
CVE-2015-1000000,0.10087,0.92813
CVE-2015-1000001,0.07844,0.91652
CVE-2015-1000002,0.03089,0.86316
CVE-2015-1000003,0.0601,0.90328
CVE-2015-1000004,0.01192,0.78234
CVE-2015-1000005,0.21197,0.95447
CVE-2015-1000006,0.10607,0.93008
CVE-2015-1000007,0.0888,0.92243
CVE-2015-1000008,0.038,0.87664
CVE-2015-1000009,0.05702,0.90053
CVE-2015-1000010,0.31974,0.9663
CVE-2015-1000011,0.0601,0.90328
CVE-2015-1000012,0.68585,0.9854
CVE-2015-1000013,0.06039,0.90351
CVE-2015-10001,0.00103,0.28794
CVE-2015-10002,0.00053,0.1633
CVE-2015-10003,0.00188,0.40784
CVE-2015-10004,0.00126,0.32507
CVE-2015-10005,0.00064,0.19763
CVE-2015-10006,0.00075,0.22637
CVE-2015-10007,0.00088,0.25646
CVE-2015-10008,0.00067,0.20625
CVE-2015-10009,0.00089,0.25709
CVE-2015-10010,0.00085,0.24971
CVE-2015-10011,0.00066,0.20474
CVE-2015-10012,0.0013,0.33199
CVE-2015-10013,0.00193,0.41309
CVE-2015-10014,0.00056,0.17535
CVE-2015-10015,0.00056,0.17535
CVE-2015-10016,0.00061,0.19123
CVE-2015-10017,0.00056,0.17535
CVE-2015-10018,0.00056,0.17535
CVE-2015-10019,0.00075,0.22637
CVE-2015-10020,0.00056,0.17535
CVE-2015-10021,0.00072,0.22003
CVE-2015-10022,0.00056,0.17535
CVE-2015-10023,0.00056,0.17535
CVE-2015-10024,0.00104,0.29025
CVE-2015-10025,0.00059,0.18289
CVE-2015-10026,0.00056,0.17535
CVE-2015-10027,0.00098,0.2763
CVE-2015-10028,0.00106,0.29353
CVE-2015-10029,0.00143,0.35107
CVE-2015-10030,0.00101,0.28554
CVE-2015-10031,0.00067,0.20625
CVE-2015-10032,0.0038,0.58707
CVE-2015-10033,0.00045,0.13727
CVE-2015-10034,0.00181,0.40003
CVE-2015-10035,0.00067,0.20625
CVE-2015-10036,0.00056,0.17535
CVE-2015-10037,0.00056,0.17535
CVE-2015-10038,0.0003,0.07998
CVE-2015-10039,0.00033,0.08974
CVE-2015-10040,0.00053,0.16566
CVE-2015-10041,0.00059,0.18363
CVE-2015-10042,0.00067,0.20625
CVE-2015-10043,0.00104,0.29025
CVE-2015-10044,0.00067,0.20625
CVE-2015-10045,0.00067,0.20625
CVE-2015-10046,0.00067,0.20625
CVE-2015-10047,0.00067,0.20625
CVE-2015-10048,0.00056,0.17535
CVE-2015-10049,0.00088,0.25646
CVE-2015-10050,0.00067,0.20625
CVE-2015-10051,0.00056,0.17535
CVE-2015-10052,0.0005,0.15452
CVE-2015-10053,0.0005,0.15453
CVE-2015-10054,0.00067,0.20625
CVE-2015-10055,0.00066,0.20516
CVE-2015-10056,0.00067,0.20625
CVE-2015-10057,0.00078,0.23483
CVE-2015-10058,0.00194,0.41422
CVE-2015-10059,0.00194,0.41422
CVE-2015-10060,0.00143,0.35072
CVE-2015-10061,0.00078,0.23581
CVE-2015-10062,0.00105,0.29112
CVE-2015-10063,0.00059,0.18354
CVE-2015-10064,0.00067,0.20625
CVE-2015-10065,0.00144,0.35169
CVE-2015-10066,0.00067,0.20625
CVE-2015-10067,0.00081,0.24166
CVE-2015-10068,0.00056,0.17535
CVE-2015-10069,0.00056,0.17535
CVE-2015-10070,0.00056,0.1751
CVE-2015-10071,0.00093,0.26542
CVE-2015-10072,0.00078,0.23455
CVE-2015-10073,0.00145,0.35305
CVE-2015-10074,0.0008,0.2387
CVE-2015-10075,0.00175,0.3922
CVE-2015-10076,0.00055,0.17214
CVE-2015-10077,0.00049,0.15114
CVE-2015-10078,0.0013,0.33217
CVE-2015-10079,0.00073,0.22166
CVE-2015-10080,0.00073,0.22166
CVE-2015-10081,0.00065,0.20122
CVE-2015-10082,0.00132,0.33421
CVE-2015-10083,0.00076,0.22826
CVE-2015-10084,0.0006,0.18542
CVE-2015-10085,0.00054,0.16827
CVE-2015-10086,0.00055,0.17055
CVE-2015-10087,0.00662,0.7037
CVE-2015-10088,0.00083,0.24621
CVE-2015-10089,0.0007,0.21365
CVE-2015-10090,0.00346,0.56518
CVE-2015-10091,0.0005,0.15494
CVE-2015-10092,0.00106,0.29324
CVE-2015-10093,0.00097,0.27377
CVE-2015-10094,0.00092,0.26396
CVE-2015-10095,0.00097,0.27377
CVE-2015-10096,0.00274,0.50447
CVE-2015-10097,0.00044,0.13181
CVE-2015-10098,0.00078,0.23388
CVE-2015-10099,0.01267,0.7885
CVE-2015-10100,0.00669,0.70527
CVE-2015-10101,0.00118,0.31267
CVE-2015-10102,0.00056,0.17403
CVE-2015-10103,0.00026,0.06437
CVE-2015-10104,0.00082,0.24282
CVE-2015-10105,0.00202,0.42399
CVE-2015-10106,0.00049,0.14963
CVE-2015-10107,0.00078,0.23388
CVE-2015-10108,0.00066,0.20441
CVE-2015-10109,0.00066,0.20441
CVE-2015-10110,0.00078,0.23388
CVE-2015-10111,0.00103,0.28828
CVE-2015-10112,0.0007,0.21366
CVE-2015-10113,0.00059,0.18289
CVE-2015-10114,0.0007,0.21366
CVE-2015-10115,0.0007,0.21366
CVE-2015-10116,0.00067,0.20688
CVE-2015-10117,0.00078,0.23388
CVE-2015-10118,0.00058,0.18089
CVE-2015-10119,0.00085,0.24993
CVE-2015-10120,0.00078,0.23388
CVE-2015-10121,0.00058,0.18089
CVE-2015-10122,0.01267,0.7885
CVE-2015-10123,0.00649,0.70001
CVE-2015-10124,0.00122,0.31901
CVE-2015-10125,0.00078,0.23445
CVE-2015-10126,0.00052,0.16066
CVE-2015-10127,0.00092,0.26351
CVE-2015-10128,0.00171,0.3877
CVE-2015-10129,0.00102,0.28736
CVE-2015-10130,0.00097,0.27308
CVE-2015-10131,0.00092,0.26397
CVE-2015-10132,0.00092,0.26397
CVE-2015-10133,0.36733,0.9696
CVE-2015-10134,0.46754,0.97527
CVE-2015-10135,0.57662,0.98049
CVE-2015-10136,0.58885,0.98114
CVE-2015-10137,0.57662,0.98049
CVE-2015-10138,0.51386,0.97751
CVE-2015-10139,0.48061,0.97588
CVE-2015-10140,0.53295,0.97845
CVE-2015-10141,0.74887,0.9881
CVE-2015-10142,0.00077,0.23217
CVE-2015-10143,0.64575,0.98359
CVE-2015-10144,0.00425,0.61434
CVE-2015-10146,0.00034,0.09453
CVE-2015-10147,0.00034,0.09453
CVE-2015-1142857,0.0069,0.70999
CVE-2015-1000,0.0358,0.87313
CVE-2015-1001,0.01353,0.79547
CVE-2015-1002,0.005,0.65084
CVE-2015-1003,0.0042,0.61181
CVE-2015-1005,0.00065,0.2016
CVE-2015-1006,0.00863,0.74348
CVE-2015-1007,0.01025,0.76606
CVE-2015-1008,0.00486,0.64499
CVE-2015-1009,0.00108,0.29645
CVE-2015-1010,7e-05,0.00429
CVE-2015-1011,0.00741,0.72165
CVE-2015-1012,0.00112,0.30402
CVE-2015-1013,0.00268,0.49989
CVE-2015-1014,0.00057,0.17762
CVE-2015-1015,0.00079,0.23645
CVE-2015-1026,0.00441,0.62399
CVE-2015-1027,0.00264,0.49603
CVE-2015-1028,0.21077,0.95434
CVE-2015-1029,0.00363,0.57637
CVE-2015-1030,0.00535,0.66526
CVE-2015-1031,0.00659,0.70279
CVE-2015-1032,0.00256,0.48689
CVE-2015-1038,0.03183,0.86509
CVE-2015-1039,0.00256,0.48689
CVE-2015-1040,0.00403,0.60085
CVE-2015-1041,0.00796,0.73247
CVE-2015-1042,0.0062,0.69218
CVE-2015-1043,0.00197,0.41795
CVE-2015-1044,0.00285,0.51559
CVE-2015-1047,0.02916,0.85918
CVE-2015-1048,0.00224,0.44899
CVE-2015-1049,0.00537,0.66607
CVE-2015-1050,0.00309,0.53502
CVE-2015-1051,0.00631,0.6948
CVE-2015-1052,0.00378,0.5853
CVE-2015-1053,0.00541,0.66736
CVE-2015-1054,0.01885,0.82604
CVE-2015-1055,0.00374,0.58276
CVE-2015-1056,0.00359,0.57336
CVE-2015-1057,0.04122,0.88194
CVE-2015-1058,0.14042,0.94077
CVE-2015-1059,0.04099,0.88162
CVE-2015-1060,0.10183,0.92852
CVE-2015-1061,0.05405,0.89761
CVE-2015-1062,0.00336,0.55814
CVE-2015-1063,0.00693,0.71067
CVE-2015-1064,0.00068,0.20993
CVE-2015-1065,0.00231,0.45745
CVE-2015-1066,0.01174,0.78077
CVE-2015-1067,0.04799,0.8907
CVE-2015-1068,0.00853,0.74191
CVE-2015-1069,0.00872,0.74495
CVE-2015-1070,0.00787,0.73075
CVE-2015-1071,0.00805,0.73393
CVE-2015-1072,0.00787,0.73075
CVE-2015-1073,0.00787,0.73075
CVE-2015-1074,0.00787,0.73075
CVE-2015-1075,0.01015,0.76481
CVE-2015-1076,0.00805,0.73393
CVE-2015-1077,0.00913,0.7514
CVE-2015-1078,0.00913,0.7514
CVE-2015-1079,0.00843,0.7401
CVE-2015-1080,0.00913,0.7514
CVE-2015-1081,0.00861,0.7432
CVE-2015-1082,0.00913,0.7514
CVE-2015-1083,0.00861,0.7432
CVE-2015-1084,0.00434,0.62052
CVE-2015-1085,0.00069,0.21176
CVE-2015-1086,0.00057,0.17782
CVE-2015-1087,0.00051,0.15631
CVE-2015-1088,0.01637,0.81375
CVE-2015-1089,0.00498,0.64995
CVE-2015-1090,0.003,0.52836
CVE-2015-1091,0.00498,0.64995
CVE-2015-1092,0.00823,0.73685
