#model_version:v2025.03.14,score_date:2025-07-12T12:55:00Z
cve,epss,percentile
CVE-2010-10001,0.00191,0.4147
CVE-2010-10002,0.00067,0.21213
CVE-2010-10003,0.00045,0.1336
CVE-2010-10004,0.00059,0.18728
CVE-2010-10006,0.00117,0.31404
CVE-2010-10007,0.00045,0.1336
CVE-2010-10008,0.0007,0.21994
CVE-2010-10009,0.00045,0.1336
CVE-2010-10010,0.00066,0.20737
CVE-2010-10011,0.00237,0.46802
CVE-2010-1000,0.024,0.84393
CVE-2010-1003,0.05618,0.89902
CVE-2010-1004,0.00413,0.60733
CVE-2010-1005,0.00296,0.52658
CVE-2010-1006,0.00366,0.57885
CVE-2010-1007,0.0025,0.48344
CVE-2010-1008,0.00296,0.52658
CVE-2010-1009,0.00366,0.57885
CVE-2010-1010,0.00366,0.57885
CVE-2010-1011,0.00263,0.49586
CVE-2010-1012,0.00366,0.57885
CVE-2010-1013,0.00458,0.6309
CVE-2010-1014,0.00263,0.49586
CVE-2010-1015,0.00458,0.6309
CVE-2010-1016,0.00413,0.60733
CVE-2010-1017,0.00458,0.6309
CVE-2010-1018,0.00366,0.57885
CVE-2010-1019,0.00366,0.57885
CVE-2010-1020,0.00263,0.49586
CVE-2010-1021,0.00357,0.57292
CVE-2010-1022,0.00383,0.58882
CVE-2010-1023,0.00434,0.62035
CVE-2010-1024,0.00397,0.59791
CVE-2010-1025,0.00285,0.51694
CVE-2010-1026,0.00413,0.60733
CVE-2010-1027,0.00413,0.60733
CVE-2010-1028,0.07553,0.91377
CVE-2010-1029,0.3762,0.97018
CVE-2010-1030,0.00038,0.10219
CVE-2010-1031,0.0006,0.18908
CVE-2010-1032,0.00072,0.22658
CVE-2010-1033,0.27045,0.96139
CVE-2010-1034,0.00293,0.52289
CVE-2010-1035,0.00501,0.6502
CVE-2010-1036,0.00605,0.68645
CVE-2010-1037,0.00145,0.35772
CVE-2010-1038,0.00362,0.57617
CVE-2010-1039,0.26547,0.96095
CVE-2010-1040,0.00241,0.47408
CVE-2010-1041,0.017,0.8149
CVE-2010-1042,0.41642,0.97267
CVE-2010-1043,0.01326,0.79019
CVE-2010-1044,0.0035,0.56836
CVE-2010-1045,0.00107,0.29842
CVE-2010-1046,0.00423,0.61352
