#model_version:v2025.03.14,score_date:2025-06-10T12:55:00Z
cve,epss,percentile
CVE-2004-2000,0.02813,0.85437
CVE-2004-2001,0.0006,0.18952
CVE-2004-2002,0.00739,0.71774
CVE-2004-2003,0.04999,0.8917
CVE-2004-2004,0.00933,0.75022
CVE-2004-2005,0.08043,0.9164
CVE-2004-2006,0.00052,0.16106
CVE-2004-2007,0.00416,0.60792
CVE-2004-2008,0.00267,0.50028
CVE-2004-2009,0.00391,0.59297
CVE-2004-2010,0.01075,0.76703
CVE-2004-2011,0.09545,0.92426
CVE-2004-2012,0.00102,0.29182
CVE-2004-2013,0.00086,0.26135
CVE-2004-2014,0.00118,0.31843
CVE-2004-2015,0.00346,0.56493
CVE-2004-2016,0.0331,0.86625
CVE-2004-2017,0.09501,0.92401
CVE-2004-2018,0.00084,0.25675
CVE-2004-2019,0.00027,0.05843
CVE-2004-2020,0.00039,0.11094
CVE-2004-2021,0.06899,0.90892
CVE-2004-2022,0.01742,0.81605
CVE-2004-2023,0.01314,0.78836
CVE-2004-2024,0.00467,0.63368
CVE-2004-2025,0.00431,0.61693
CVE-2004-2026,0.24425,0.95809
CVE-2004-2027,0.01632,0.81007
CVE-2004-2028,0.00655,0.69883
CVE-2004-2029,0.11981,0.93376
CVE-2004-2030,0.01623,0.80947
CVE-2004-2031,0.00565,0.67351
CVE-2004-2032,0.04002,0.8788
CVE-2004-2033,0.18541,0.94896
CVE-2004-2034,0.09658,0.9247
CVE-2004-2035,0.09189,0.92258
CVE-2004-2036,0.01162,0.77574
CVE-2004-2037,0.22703,0.95545
CVE-2004-2038,0.09713,0.92498
CVE-2004-2039,0.00985,0.75719
CVE-2004-2040,0.02013,0.82821
CVE-2004-2041,0.0214,0.83361
CVE-2004-2042,0.03255,0.86522
CVE-2004-2043,0.48868,0.97609
CVE-2004-2044,0.01076,0.76715
CVE-2004-2045,0.0445,0.885
CVE-2004-2046,0.01271,0.78524
CVE-2004-2047,0.0754,0.9131
CVE-2004-2048,0.032,0.86396
CVE-2004-2049,0.00087,0.26159
CVE-2004-2050,0.00121,0.3224
CVE-2004-2051,0.00513,0.65433
CVE-2004-2052,0.00394,0.59441
CVE-2004-2053,0.02474,0.84494
CVE-2004-2054,0.00463,0.63213
CVE-2004-2055,0.00444,0.62376
CVE-2004-2056,0.00487,0.64316
CVE-2004-2057,0.01233,0.78208
CVE-2004-2058,0.00806,0.7303
CVE-2004-2059,0.10156,0.92706
CVE-2004-2060,0.09187,0.92254
CVE-2004-2061,0.17394,0.9469
CVE-2004-2062,0.00416,0.60746
CVE-2004-2063,0.00807,0.73042
CVE-2004-2064,0.00685,0.70586
CVE-2004-2065,0.00552,0.66897
CVE-2004-2066,0.00967,0.75495
CVE-2004-2067,0.01908,0.82378
CVE-2004-2068,0.00911,0.74725
CVE-2004-2069,0.0485,0.89006
CVE-2004-2070,0.00064,0.2013
CVE-2004-2071,0.04938,0.89102
CVE-2004-2072,0.00524,0.65886
CVE-2004-2073,0.00166,0.38566
CVE-2004-2074,0.34436,0.96767
CVE-2004-2075,0.01271,0.78524
CVE-2004-2076,0.00401,0.59853
CVE-2004-2077,0.11672,0.93284
CVE-2004-2078,0.12073,0.93404
CVE-2004-2079,0.01219,0.78069
CVE-2004-2080,0.00786,0.72683
CVE-2004-2081,0.02507,0.84598
CVE-2004-2082,0.04791,0.8893
CVE-2004-2083,0.01142,0.77408
CVE-2004-2084,0.00871,0.741
CVE-2004-2085,0.03086,0.86136
CVE-2004-2086,0.72357,0.98665
CVE-2004-2087,0.01414,0.7958
CVE-2004-2088,0.05692,0.89923
