#model_version:v2026.06.15,score_date:2026-08-11T12:00:17Z
cve,epss,percentile
CVE-2011-10001,0.00658,0.48201
CVE-2011-10002,0.00735,0.51103
CVE-2011-10003,0.00608,0.45891
CVE-2011-10004,0.00599,0.45492
CVE-2011-10005,0.0351,0.88101
CVE-2011-10006,0.00433,0.35734
CVE-2011-10007,0.00749,0.51586
CVE-2011-10008,0.01152,0.63992
CVE-2011-10009,0.01286,0.67476
CVE-2011-10010,0.01591,0.73384
CVE-2011-10011,0.01704,0.75115
CVE-2011-10012,0.00429,0.35467
CVE-2011-10013,0.01596,0.73447
CVE-2011-10014,0.00369,0.29648
CVE-2011-10015,0.00429,0.35467
CVE-2011-10016,0.00427,0.35262
CVE-2011-10017,0.01915,0.77918
CVE-2011-10018,0.01977,0.78632
CVE-2011-10019,0.04005,0.89585
CVE-2011-10020,0.00911,0.56738
CVE-2011-10021,0.00345,0.27265
CVE-2011-10022,0.00803,0.53364
CVE-2011-10023,0.00347,0.27491
CVE-2011-10024,0.00354,0.28285
CVE-2011-10025,0.00343,0.27033
CVE-2011-10026,0.0264,0.84156
CVE-2011-10027,0.0051,0.40829
CVE-2011-10028,0.01138,0.63601
CVE-2011-10029,0.00723,0.50665
CVE-2011-10030,0.00378,0.30602
CVE-2011-10032,0.01085,0.62173
CVE-2011-10033,0.00446,0.36808
CVE-2011-10034,0.00582,0.44692
CVE-2011-10035,0.00218,0.12344
CVE-2011-10036,0.00414,0.34232
CVE-2011-10037,0.00566,0.43944
CVE-2011-10038,0.0044,0.36287
CVE-2011-10039,0.00392,0.32036
CVE-2011-10040,0.00414,0.34231
CVE-2011-10041,0.008,0.53242
CVE-2011-10043,0.00447,0.36881
CVE-2011-1000,0.02901,0.85657
CVE-2011-1001,0.01231,0.6615
CVE-2011-1002,0.29361,0.98002
CVE-2011-1003,0.04215,0.90053
CVE-2011-1004,0.00385,0.31448
CVE-2011-1005,0.02772,0.84961
CVE-2011-1006,0.00419,0.34657
CVE-2011-1007,0.00397,0.32629
CVE-2011-1008,0.01533,0.72456
CVE-2011-1009,0.00804,0.53372
CVE-2011-1010,0.0053,0.41992
CVE-2011-1011,0.00368,0.29612
CVE-2011-1012,0.00463,0.37933
CVE-2011-1013,0.00407,0.33613
CVE-2011-1015,0.03924,0.8937
CVE-2011-1016,0.00342,0.26975
CVE-2011-1017,0.00614,0.4621
CVE-2011-1018,0.18321,0.96952
CVE-2011-1019,0.00443,0.36542
CVE-2011-1020,0.00923,0.57113
CVE-2011-1021,0.00928,0.57278
CVE-2011-1022,0.00386,0.31467
CVE-2011-1023,0.00485,0.39344
CVE-2011-1024,0.02593,0.83862
CVE-2011-1025,0.03874,0.89221
CVE-2011-1026,0.02135,0.80285
CVE-2011-1027,0.03746,0.8884
CVE-2011-1028,0.01613,0.73712
CVE-2011-1029,0.00885,0.55928
CVE-2011-1030,0.01053,0.61236
CVE-2011-1031,0.00332,0.2585
CVE-2011-1032,0.01442,0.70774
CVE-2011-1033,0.04756,0.91054
CVE-2011-1034,0.01223,0.65952
CVE-2011-1035,0.04019,0.89614
CVE-2011-1036,0.02547,0.83532
CVE-2011-1038,0.03053,0.86335
CVE-2011-1042,0.00877,0.55722
CVE-2011-1044,0.00386,0.31464
CVE-2011-1045,0.01225,0.6601
CVE-2011-1046,0.01246,0.66523
CVE-2011-1047,0.05021,0.91459
CVE-2011-1048,0.0099,0.59319
CVE-2011-1049,0.03665,0.88594
CVE-2011-1050,0.01524,0.72286
CVE-2011-1051,0.01474,0.71404
CVE-2011-1052,0.01474,0.71405
CVE-2011-1053,0.01199,0.65262
CVE-2011-1054,0.01474,0.71404
CVE-2011-1055,0.01151,0.63973
CVE-2011-1056,0.00276,0.19835
CVE-2011-1058,0.02538,0.83472
CVE-2011-1059,0.01421,0.70358
CVE-2011-1060,0.02266,0.81391
CVE-2011-1061,0.0134,0.6867
CVE-2011-1062,0.01751,0.75757
CVE-2011-1063,0.0113,0.6341
CVE-2011-1064,0.01018,0.6016
CVE-2011-1065,0.04172,0.89955
CVE-2011-1066,0.01081,0.6204
CVE-2011-1067,0.01418,0.70308
CVE-2011-1068,0.09602,0.95015
CVE-2011-1069,0.00686,0.49305
CVE-2011-1070,0.00372,0.30014
CVE-2011-1071,0.14323,0.96266
CVE-2011-1072,0.00492,0.39749
CVE-2011-1073,0.00438,0.36138
CVE-2011-1074,0.00521,0.41502
CVE-2011-1075,0.00734,0.51082
CVE-2011-1076,0.00516,0.41196
CVE-2011-1077,0.07006,0.93554
CVE-2011-1078,0.00362,0.29012
CVE-2011-1079,0.00662,0.48355
CVE-2011-1080,0.0035,0.27784
CVE-2011-1081,0.14474,0.96299
CVE-2011-1082,0.00778,0.52527
CVE-2011-1083,0.00795,0.5306
CVE-2011-1084,0.00649,0.47768
CVE-2011-1085,0.00457,0.3754
CVE-2011-1086,0.01666,0.74546
CVE-2011-1087,0.08074,0.94257
CVE-2011-1088,0.06453,0.93079
CVE-2011-1089,0.00417,0.34472
CVE-2011-1090,0.00434,0.35855
CVE-2011-1091,0.03011,0.8615
CVE-2011-1092,0.17881,0.96893
CVE-2011-1093,0.03477,0.87997
CVE-2011-1094,0.00999,0.59598
CVE-2011-1095,0.00518,0.41336
CVE-2011-1096,0.02587,0.8381
CVE-2011-1097,0.03189,0.86895
CVE-2011-1098,0.00281,0.20412
CVE-2011-1099,0.03172,0.86827
CVE-2011-1100,0.01297,0.67719
CVE-2011-1101,0.01448,0.70876
CVE-2011-1102,0.01859,0.77249
CVE-2011-1103,0.01955,0.78401
CVE-2011-1104,0.0068,0.49073
CVE-2011-1105,0.00908,0.56653
CVE-2011-1106,0.0148,0.71498
CVE-2011-1107,0.01438,0.70695
CVE-2011-1108,0.01308,0.67927
CVE-2011-1109,0.01815,0.76654
CVE-2011-1110,0.01556,0.72861
CVE-2011-1111,0.02088,0.79839
CVE-2011-1112,0.01556,0.72861
CVE-2011-1113,0.01524,0.72293
CVE-2011-1114,0.01977,0.78631
CVE-2011-1115,0.01977,0.78631
CVE-2011-1116,0.01556,0.72862
CVE-2011-1117,0.01977,0.78632
CVE-2011-1118,0.01308,0.67928
CVE-2011-1119,0.01503,0.7193
CVE-2011-1120,0.01533,0.72455
CVE-2011-1121,0.01977,0.78631
CVE-2011-1122,0.01533,0.72456
CVE-2011-1123,0.01226,0.66036
CVE-2011-1124,0.01556,0.72862
CVE-2011-1125,0.01556,0.72861
CVE-2011-1126,0.00384,0.31343
CVE-2011-1127,0.02211,0.80956
CVE-2011-1128,0.01596,0.73448
CVE-2011-1129,0.00996,0.59468
CVE-2011-1130,0.01084,0.62135
CVE-2011-1131,0.01242,0.66427
CVE-2011-1132,0.00362,0.2906
