#model_version:v2025.03.14,score_date:2025-09-14T12:55:00Z
cve,epss,percentile
CVE-2017-6001,0.00115,0.30914
CVE-2017-6002,0.00134,0.33828
CVE-2017-6003,0.00234,0.46176
CVE-2017-6004,0.01137,0.77609
CVE-2017-6005,0.00047,0.14191
CVE-2017-6007,0.00019,0.03202
CVE-2017-6008,0.02775,0.85513
CVE-2017-6009,0.0028,0.51011
CVE-2017-6010,0.00354,0.57011
CVE-2017-6011,0.00354,0.57011
CVE-2017-6013,0.00567,0.67544
CVE-2017-6014,0.00423,0.61353
CVE-2017-6015,0.00054,0.16624
CVE-2017-6016,0.00074,0.22902
CVE-2017-6017,0.06139,0.90445
CVE-2017-6018,0.00145,0.35552
CVE-2017-6019,0.2416,0.95865
CVE-2017-6020,0.06683,0.90873
CVE-2017-6021,0.00449,0.62732
CVE-2017-6022,0.00525,0.66086
CVE-2017-6023,0.03154,0.86404
CVE-2017-6024,0.00032,0.07501
CVE-2017-6025,0.00629,0.69392
CVE-2017-6026,0.14763,0.94266
CVE-2017-6027,0.01992,0.82928
CVE-2017-6028,0.0023,0.45735
CVE-2017-6029,0.0014,0.34728
CVE-2017-6030,0.00394,0.5956
CVE-2017-6031,0.01173,0.77935
CVE-2017-6032,0.00458,0.63147
CVE-2017-6033,0.00216,0.44171
CVE-2017-6034,0.00164,0.37875
CVE-2017-6035,0.00348,0.56654
CVE-2017-6036,0.00152,0.36482
CVE-2017-6037,0.00406,0.60273
CVE-2017-6038,0.00077,0.23719
CVE-2017-6039,0.00244,0.47544
CVE-2017-6040,0.00189,0.41006
CVE-2017-6041,0.00627,0.69341
CVE-2017-6042,0.00131,0.33476
CVE-2017-6043,0.00552,0.67079
CVE-2017-6044,0.0769,0.9157
CVE-2017-6045,0.00522,0.65964
CVE-2017-6046,0.00384,0.58885
CVE-2017-6047,0.00261,0.49282
CVE-2017-6048,0.45622,0.97535
CVE-2017-6049,0.00385,0.58977
CVE-2017-6050,0.01273,0.78769
CVE-2017-6051,0.00262,0.49333
CVE-2017-6052,0.00127,0.32848
CVE-2017-6053,0.0017,0.38701
CVE-2017-6054,0.00868,0.74332
CVE-2017-6055,0.00542,0.66714
