#model_version:v2026.06.15,score_date:2026-09-12T12:00:22Z
cve,epss,percentile
CVE-2016-3000,0.01266,0.68087
CVE-2016-3001,0.00802,0.54629
CVE-2016-3002,0.00334,0.26494
CVE-2016-3003,0.00802,0.54628
CVE-2016-3004,0.00528,0.4312
CVE-2016-3005,0.00802,0.54627
CVE-2016-3006,0.00802,0.54629
CVE-2016-3007,0.00629,0.48227
CVE-2016-3008,0.00615,0.4759
CVE-2016-3009,0.00524,0.42881
CVE-2016-3010,0.00802,0.54627
CVE-2016-3012,0.01673,0.75498
CVE-2016-3013,0.00906,0.57877
CVE-2016-3014,0.01324,0.69325
CVE-2016-3015,0.00516,0.42408
CVE-2016-3016,0.00351,0.28386
CVE-2016-3017,0.02221,0.81695
CVE-2016-3018,0.00785,0.54075
CVE-2016-3019,0.00756,0.53118
CVE-2016-3020,0.01247,0.67611
CVE-2016-3021,0.01033,0.61847
CVE-2016-3022,0.01716,0.76133
CVE-2016-3023,0.01129,0.64531
CVE-2016-3024,0.0032,0.24797
CVE-2016-3025,0.01602,0.74429
CVE-2016-3027,0.01314,0.69097
CVE-2016-3028,0.03537,0.88602
CVE-2016-3029,0.00454,0.38279
CVE-2016-3031,0.00516,0.42407
CVE-2016-3032,0.00511,0.42059
CVE-2016-3033,0.01386,0.70666
CVE-2016-3034,0.00214,0.11886
CVE-2016-3035,0.01029,0.6175
CVE-2016-3036,0.0167,0.75457
CVE-2016-3037,0.00914,0.58104
CVE-2016-3038,0.00538,0.43702
CVE-2016-3039,0.02077,0.80415
CVE-2016-3040,0.01051,0.62376
CVE-2016-3042,0.01129,0.64537
CVE-2016-3043,0.01227,0.67159
CVE-2016-3044,0.00352,0.28466
CVE-2016-3045,0.00842,0.55892
CVE-2016-3046,0.00911,0.58003
CVE-2016-3047,0.00754,0.5306
CVE-2016-3048,0.00729,0.52213
CVE-2016-3049,0.00869,0.56747
CVE-2016-3051,0.00939,0.58946
CVE-2016-3052,0.00826,0.55381
CVE-2016-3053,0.02473,0.83613
CVE-2016-3054,0.00615,0.47586
CVE-2016-3055,0.01386,0.70666
CVE-2016-3056,0.00978,0.60218
CVE-2016-3057,0.01146,0.6495
CVE-2016-3059,0.0037,0.30418
CVE-2016-3060,0.00796,0.54413
CVE-2016-3062,0.04406,0.90769
CVE-2016-3063,0.01183,0.66011
CVE-2016-3064,0.01784,0.77036
CVE-2016-3065,0.03347,0.8798
CVE-2016-3066,0.01022,0.61533
CVE-2016-3067,0.0204,0.80025
CVE-2016-3068,0.05405,0.92229
CVE-2016-3069,0.04953,0.91676
CVE-2016-3070,0.00415,0.35039
CVE-2016-3071,0.02558,0.84189
CVE-2016-3072,0.01835,0.77705
CVE-2016-3074,0.36974,0.98425
CVE-2016-3075,0.07335,0.94034
CVE-2016-3076,0.02583,0.8435
CVE-2016-3077,0.00998,0.60789
CVE-2016-3078,0.56132,0.98987
CVE-2016-3079,0.01578,0.74086
CVE-2016-3080,0.01071,0.62961
CVE-2016-3081,0.93352,0.99833
CVE-2016-3082,0.1917,0.97164
CVE-2016-3083,0.01006,0.61038
CVE-2016-3084,0.0119,0.66172
CVE-2016-3085,0.02861,0.85973
CVE-2016-3086,0.0365,0.88956
CVE-2016-3087,0.81873,0.99627
CVE-2016-3088,0.98518,0.99918
CVE-2016-3089,0.04858,0.91526
CVE-2016-3090,0.05709,0.92586
CVE-2016-3091,0.01227,0.67156
CVE-2016-3092,0.35927,0.98378
CVE-2016-3093,0.08443,0.94685
CVE-2016-3094,0.07829,0.94332
CVE-2016-3095,0.00303,0.22909
CVE-2016-3096,0.00471,0.39454
CVE-2016-3097,0.01071,0.62961
CVE-2016-3098,0.00351,0.28422
CVE-2016-3099,0.01716,0.7613
CVE-2016-3100,0.00399,0.33477
CVE-2016-3101,0.01157,0.6526
CVE-2016-3102,0.01769,0.76858
CVE-2016-3104,0.02489,0.83718
CVE-2016-3105,0.02655,0.84816
CVE-2016-3106,0.00938,0.58908
CVE-2016-3107,0.00201,0.10131
CVE-2016-3108,0.00257,0.17439
CVE-2016-3109,0.28106,0.97994
CVE-2016-3110,0.0364,0.88911
CVE-2016-3111,0.0039,0.3255
CVE-2016-3112,0.02193,0.81451
CVE-2016-3113,0.0274,0.85323
CVE-2016-3114,0.00852,0.56209
CVE-2016-3115,0.37016,0.98427
CVE-2016-3116,0.19302,0.97183
CVE-2016-3118,0.01229,0.67206
CVE-2016-3119,0.39969,0.98543
CVE-2016-3120,0.0462,0.91162
CVE-2016-3124,0.01339,0.69678
CVE-2016-3125,0.06979,0.93764
CVE-2016-3126,0.01018,0.61387
CVE-2016-3127,0.01379,0.70542
CVE-2016-3128,0.01871,0.78173
CVE-2016-3129,0.02895,0.86143
CVE-2016-3130,0.02057,0.8021
CVE-2016-3131,0.00667,0.4987
CVE-2016-3132,0.11674,0.95809
CVE-2016-3134,0.01234,0.67311
CVE-2016-3135,0.01001,0.60878
CVE-2016-3136,0.01797,0.77194
CVE-2016-3137,0.00546,0.4416
CVE-2016-3138,0.00546,0.4416
CVE-2016-3139,0.0179,0.77104
CVE-2016-3140,0.0179,0.77104
CVE-2016-3141,0.36009,0.9838
CVE-2016-3142,0.05181,0.9198
CVE-2016-3144,0.01116,0.64222
CVE-2016-3145,0.00347,0.27936
CVE-2016-3147,0.0574,0.92625
CVE-2016-3149,0.07798,0.94315
CVE-2016-3150,0.01271,0.68189
CVE-2016-3151,0.04311,0.90597
CVE-2016-3152,0.02797,0.85648
CVE-2016-3153,0.01835,0.77709
CVE-2016-3154,0.01835,0.77709
CVE-2016-3155,0.00313,0.2411
CVE-2016-3156,0.00553,0.44548
CVE-2016-3157,0.00513,0.42167
CVE-2016-3158,0.0041,0.34552
CVE-2016-3159,0.00399,0.3355
CVE-2016-3161,0.00375,0.30971
CVE-2016-3162,0.0159,0.74251
CVE-2016-3163,0.01426,0.71435
CVE-2016-3164,0.0192,0.78751
CVE-2016-3165,0.0136,0.70138
CVE-2016-3166,0.01179,0.65897
CVE-2016-3167,0.01352,0.69975
CVE-2016-3168,0.02483,0.83681
CVE-2016-3169,0.02221,0.81698
CVE-2016-3170,0.0215,0.81096
CVE-2016-3171,0.0319,0.8737
CVE-2016-3172,0.02827,0.85811
CVE-2016-3173,0.00733,0.52361
CVE-2016-3174,0.0096,0.59577
CVE-2016-3176,0.00873,0.56862
CVE-2016-3177,0.01631,0.7488
CVE-2016-3178,0.00316,0.24395
CVE-2016-3179,0.00316,0.24395
CVE-2016-3180,0.01923,0.78776
CVE-2016-3182,0.01524,0.7321
CVE-2016-3183,0.03436,0.88278
CVE-2016-3185,0.03146,0.87192
CVE-2016-3186,0.02492,0.83738
CVE-2016-3187,0.01862,0.78061
CVE-2016-3188,0.01862,0.78061
CVE-2016-3189,0.15562,0.96626
CVE-2016-3190,0.01805,0.77317
CVE-2016-3191,0.0843,0.94679
CVE-2016-3192,0.0061,0.47326
CVE-2016-3193,0.00802,0.5463
CVE-2016-3194,0.01009,0.61121
CVE-2016-3195,0.01009,0.61119
CVE-2016-3196,0.00992,0.60616
CVE-2016-3198,0.32484,0.98235
CVE-2016-3199,0.2659,0.97897
CVE-2016-3201,0.2363,0.97673
CVE-2016-3202,0.17353,0.96935
CVE-2016-3203,0.33337,0.98273
CVE-2016-3204,0.18778,0.97111
CVE-2016-3205,0.1466,0.96458
CVE-2016-3206,0.1466,0.96458
CVE-2016-3207,0.17401,0.96942
CVE-2016-3209,0.53653,0.9893
CVE-2016-3210,0.21862,0.97504
CVE-2016-3211,0.31828,0.98196
CVE-2016-3212,0.10153,0.95381
CVE-2016-3213,0.66904,0.99249
CVE-2016-3214,0.16305,0.96766
CVE-2016-3215,0.33569,0.98284
CVE-2016-3216,0.24988,0.97787
CVE-2016-3218,0.03221,0.87514
CVE-2016-3219,0.06129,0.93036
