#model_version:v2025.03.14,score_date:2026-05-11T12:55:00Z
cve,epss,percentile
CVE-2024-8000,0.0024,0.47208
CVE-2024-8001,0.00265,0.49871
CVE-2024-8002,0.00141,0.33748
CVE-2024-8003,0.00473,0.64812
CVE-2024-8004,0.00872,0.75355
CVE-2024-8005,0.0036,0.58201
CVE-2024-8006,0.00015,0.02937
CVE-2024-8007,0.00318,0.54853
CVE-2024-8008,0.00079,0.23258
CVE-2024-8009,0.00179,0.39078
CVE-2024-8010,0.00015,0.03055
CVE-2024-8011,0.00029,0.08414
CVE-2024-8012,0.00088,0.24997
CVE-2024-8013,0.00088,0.24993
CVE-2024-8014,0.00742,0.73066
CVE-2024-8015,0.00532,0.6736
CVE-2024-8016,0.05169,0.8996
CVE-2024-8017,0.00272,0.5054
CVE-2024-8018,0.00586,0.69192
CVE-2024-8019,0.02102,0.84196
CVE-2024-8020,0.00116,0.29811
CVE-2024-8021,0.02447,0.85298
CVE-2024-8022,0.00213,0.43597
CVE-2024-8023,0.00134,0.32495
CVE-2024-8024,0.00131,0.31983
CVE-2024-8025,0.03465,0.87612
CVE-2024-8026,0.00092,0.25581
CVE-2024-8027,0.00231,0.4567
CVE-2024-8028,0.00308,0.53949
CVE-2024-8029,0.00373,0.59023
CVE-2024-8030,0.3869,0.97286
CVE-2024-8031,0.01858,0.83177
CVE-2024-8032,0.00258,0.49079
CVE-2024-8033,0.00508,0.66393
CVE-2024-8034,0.00368,0.58766
CVE-2024-8035,0.00513,0.66647
CVE-2024-8036,0.00025,0.07101
CVE-2024-8037,0.00095,0.26105
CVE-2024-8038,0.00076,0.22639
CVE-2024-8039,0.00152,0.35338
CVE-2024-8040,0.00036,0.10879
CVE-2024-8041,0.00507,0.66353
CVE-2024-8042,0.0002,0.05638
CVE-2024-8043,0.00086,0.24568
CVE-2024-8044,0.00069,0.21122
CVE-2024-8045,0.00545,0.67879
CVE-2024-8046,0.00255,0.4877
CVE-2024-8047,0.00087,0.24734
CVE-2024-8048,0.00077,0.2271
CVE-2024-8049,0.01511,0.81321
CVE-2024-8050,0.00186,0.39974
CVE-2024-8051,0.00081,0.23657
CVE-2024-8052,0.00162,0.36566
CVE-2024-8053,0.00729,0.72751
CVE-2024-8054,0.00253,0.4849
CVE-2024-8055,0.00267,0.50101
CVE-2024-8056,0.00235,0.46243
CVE-2024-8057,0.00141,0.33672
CVE-2024-8058,0.0022,0.44339
CVE-2024-8059,0.00068,0.20701
CVE-2024-8060,0.02108,0.84224
CVE-2024-8061,0.00471,0.64716
CVE-2024-8062,0.00247,0.47827
CVE-2024-8063,0.00066,0.20227
CVE-2024-8065,0.00155,0.3579
CVE-2024-8066,0.06335,0.91056
CVE-2024-8067,0.00061,0.18931
CVE-2024-8068,0.08052,0.92172
CVE-2024-8069,0.66285,0.98543
CVE-2024-8070,0.0004,0.12071
CVE-2024-8071,0.00126,0.31269
CVE-2024-8072,0.00152,0.35435
CVE-2024-8073,0.0127,0.79622
CVE-2024-8074,0.00284,0.51783
CVE-2024-8075,0.00776,0.73706
CVE-2024-8076,0.00212,0.43438
CVE-2024-8077,0.0208,0.84109
CVE-2024-8078,0.0029,0.52386
CVE-2024-8079,0.00296,0.52831
CVE-2024-8080,0.00106,0.2816
CVE-2024-8081,0.00067,0.20505
CVE-2024-8082,0.00119,0.30281
CVE-2024-8083,0.00053,0.16466
CVE-2024-8084,0.00097,0.2638
CVE-2024-8085,0.00258,0.49079
CVE-2024-8086,0.00072,0.21723
CVE-2024-8087,0.00072,0.21731
CVE-2024-8088,0.0023,0.45667
CVE-2024-8089,0.00107,0.28384
CVE-2024-8090,0.00109,0.28623
CVE-2024-8091,0.00121,0.3055
CVE-2024-8092,0.00185,0.39788
CVE-2024-8093,0.00089,0.25127
CVE-2024-8094,0.00186,0.39974
CVE-2024-8095,0.00258,0.49079
CVE-2024-8096,0.00515,0.66702
CVE-2024-8097,0.0005,0.15616
CVE-2024-8099,0.00152,0.35424
CVE-2024-8100,0.00224,0.44831
CVE-2024-8101,0.00233,0.46007
CVE-2024-8102,0.00278,0.51151
CVE-2024-8103,0.00233,0.46083
CVE-2024-8104,0.0309,0.86884
CVE-2024-8105,0.00029,0.08214
CVE-2024-8106,0.00634,0.70475
CVE-2024-8107,0.00255,0.48793
CVE-2024-8108,0.00367,0.58674
CVE-2024-8110,0.00226,0.4511
CVE-2024-8112,0.00134,0.32431
CVE-2024-8113,0.00151,0.35275
CVE-2024-8114,0.00254,0.48576
CVE-2024-8116,0.00155,0.35748
CVE-2024-8117,0.02325,0.84928
CVE-2024-8118,0.00098,0.26687
CVE-2024-8119,0.02325,0.84928
CVE-2024-8120,0.00175,0.38478
CVE-2024-8121,0.00114,0.29522
CVE-2024-8123,0.00217,0.43972
CVE-2024-8124,0.04547,0.89255
CVE-2024-8125,0.00365,0.58515
CVE-2024-8126,0.11671,0.93731
CVE-2024-8127,0.02376,0.85083
CVE-2024-8128,0.03067,0.86834
CVE-2024-8129,0.16751,0.94988
CVE-2024-8130,0.01557,0.81586
CVE-2024-8131,0.0443,0.89105
CVE-2024-8132,0.23555,0.96022
CVE-2024-8133,0.01557,0.81586
CVE-2024-8134,0.01557,0.81586
CVE-2024-8135,0.00159,0.36307
CVE-2024-8136,0.00129,0.31738
CVE-2024-8137,0.00129,0.31738
CVE-2024-8138,0.00104,0.27847
CVE-2024-8139,0.00124,0.3108
CVE-2024-8140,0.00133,0.32376
CVE-2024-8141,0.00133,0.32376
CVE-2024-8142,0.00133,0.32376
CVE-2024-8143,0.00195,0.41089
CVE-2024-8144,0.00127,0.31402
CVE-2024-8145,0.00102,0.27516
CVE-2024-8146,0.00104,0.27847
CVE-2024-8147,0.00073,0.22002
CVE-2024-8148,0.00774,0.7367
CVE-2024-8149,0.0027,0.50331
CVE-2024-8150,0.00043,0.13143
CVE-2024-8151,0.00072,0.21793
CVE-2024-8152,0.0014,0.33594
CVE-2024-8153,0.00133,0.32376
CVE-2024-8154,0.00133,0.32376
CVE-2024-8155,0.00087,0.24716
CVE-2024-8156,0.01612,0.81911
CVE-2024-8157,0.00117,0.3006
CVE-2024-8158,0.00053,0.16514
CVE-2024-8159,0.00062,0.19164
CVE-2024-8160,0.0005,0.15401
CVE-2024-8161,0.0054,0.67711
CVE-2024-8162,0.00309,0.54068
CVE-2024-8163,0.00113,0.29369
CVE-2024-8164,0.0011,0.28916
CVE-2024-8165,0.00224,0.44905
CVE-2024-8166,0.00071,0.21445
