#model_version:v2025.03.14,score_date:2025-06-12T12:55:00Z
cve,epss,percentile
CVE-2011-4000,0.08639,0.91963
CVE-2011-4001,0.00259,0.49257
CVE-2011-4002,0.03463,0.86993
CVE-2011-4004,0.04356,0.88393
CVE-2011-4005,0.0022,0.44885
CVE-2011-4006,0.00427,0.61481
CVE-2011-4007,0.00427,0.61481
CVE-2011-4012,0.00331,0.55443
CVE-2011-4014,0.00162,0.38208
CVE-2011-4015,0.00474,0.63744
CVE-2011-4016,0.00503,0.65044
CVE-2011-4019,0.00427,0.61481
CVE-2011-4022,0.00661,0.70101
CVE-2011-4023,0.00427,0.61481
CVE-2011-4024,0.18805,0.9495
CVE-2011-4026,0.00438,0.62152
CVE-2011-4028,0.00025,0.05135
CVE-2011-4029,0.00272,0.50527
CVE-2011-4030,0.01066,0.76665
CVE-2011-4031,0.01296,0.78742
CVE-2011-4033,0.0056,0.67214
CVE-2011-4034,0.05724,0.89968
CVE-2011-4035,0.02092,0.83198
CVE-2011-4036,0.00692,0.70795
CVE-2011-4037,0.11712,0.9331
CVE-2011-4038,0.02033,0.8294
CVE-2011-4039,0.0339,0.86828
CVE-2011-4040,0.66201,0.984
CVE-2011-4041,0.3086,0.96482
CVE-2011-4042,0.29584,0.9636
CVE-2011-4043,0.3137,0.9653
CVE-2011-4044,0.61857,0.98213
CVE-2011-4045,0.10078,0.92684
CVE-2011-4046,0.00294,0.5245
CVE-2011-4047,0.00833,0.73524
CVE-2011-4048,0.00533,0.66335
CVE-2011-4050,0.75943,0.98844
CVE-2011-4051,0.7479,0.98793
CVE-2011-4052,0.08065,0.91667
CVE-2011-4053,0.00605,0.68587
CVE-2011-4054,0.00744,0.7194
CVE-2011-4055,0.09857,0.92573
CVE-2011-4056,0.00317,0.54256
CVE-2011-4057,0.05768,0.90004
CVE-2011-4060,0.00047,0.14585
CVE-2011-4061,0.00132,0.34192
CVE-2011-4062,0.00629,0.69257
CVE-2011-4063,0.06702,0.90757
CVE-2011-4064,0.00523,0.65928
CVE-2011-4066,0.00612,0.68809
CVE-2011-4068,0.00673,0.7036
CVE-2011-4069,0.00926,0.74976
CVE-2011-4073,0.01149,0.775
CVE-2011-4074,0.16475,0.94533
CVE-2011-4075,0.83233,0.99202
CVE-2011-4076,0.00408,0.60387
CVE-2011-4077,0.00309,0.53589
CVE-2011-4078,0.00859,0.73974
CVE-2011-4079,0.06754,0.90799
CVE-2011-4080,0.00074,0.23388
CVE-2011-4081,0.00058,0.18563
CVE-2011-4082,0.00922,0.74916
CVE-2011-4083,0.00205,0.43149
CVE-2011-4085,0.00335,0.55729
CVE-2011-4086,0.00047,0.14582
CVE-2011-4087,0.00964,0.75516
