#model_version:v2025.03.14,score_date:2025-12-30T12:55:00Z
cve,epss,percentile
CVE-2021-20001,0.00765,0.72852
CVE-2021-20016,0.79818,0.99055
CVE-2021-20017,0.02622,0.85247
CVE-2021-20018,0.00092,0.26384
CVE-2021-20019,0.01045,0.76967
CVE-2021-20020,0.02384,0.84569
CVE-2021-20021,0.90152,0.99565
CVE-2021-20022,0.32596,0.96701
CVE-2021-20023,0.54201,0.97902
CVE-2021-20024,0.00076,0.22948
CVE-2021-20025,0.00024,0.05922
CVE-2021-20026,0.02201,0.83971
CVE-2021-20027,0.00432,0.62084
CVE-2021-20028,0.85685,0.9934
CVE-2021-20030,0.01141,0.77935
CVE-2021-20031,0.36219,0.96955
CVE-2021-20032,0.01045,0.76965
CVE-2021-20034,0.04701,0.89009
CVE-2021-20035,0.03967,0.8802
CVE-2021-20037,0.00025,0.06091
CVE-2021-20038,0.94292,0.99936
CVE-2021-20039,0.82461,0.99191
CVE-2021-20040,0.08808,0.92243
CVE-2021-20041,0.00601,0.688
CVE-2021-20042,0.00883,0.74858
CVE-2021-20043,0.01229,0.78689
CVE-2021-20044,0.05675,0.90096
CVE-2021-20045,0.03739,0.87648
CVE-2021-20046,0.01131,0.77835
CVE-2021-20047,0.00082,0.24378
CVE-2021-20048,0.01131,0.77835
CVE-2021-20049,0.00334,0.55682
CVE-2021-20050,0.00175,0.39265
CVE-2021-20051,0.00019,0.0409
CVE-2021-20066,0.00378,0.5876
CVE-2021-20067,0.00187,0.40699
CVE-2021-20068,0.00212,0.43738
CVE-2021-20069,0.00212,0.43738
CVE-2021-20070,0.00212,0.43738
CVE-2021-20071,0.00212,0.43738
CVE-2021-20072,0.01894,0.82743
CVE-2021-20073,0.00141,0.34831
CVE-2021-20074,0.00555,0.67422
CVE-2021-20075,0.0004,0.1188
CVE-2021-20076,0.03466,0.87175
CVE-2021-20077,0.00042,0.12782
CVE-2021-20078,0.48645,0.97638
CVE-2021-20079,0.00145,0.35291
CVE-2021-20080,0.25207,0.96002
CVE-2021-20081,0.64528,0.98375
CVE-2021-20083,0.07286,0.91355
CVE-2021-20084,0.004,0.60093
CVE-2021-20085,0.00546,0.67172
CVE-2021-20086,0.30086,0.96499
CVE-2021-20087,0.00634,0.69757
CVE-2021-20088,0.00349,0.56823
CVE-2021-20089,0.00852,0.74355
CVE-2021-20090,0.94401,0.99974
CVE-2021-20091,0.8599,0.99356
CVE-2021-20092,0.68874,0.98562
CVE-2021-20093,0.08202,0.9191
CVE-2021-20094,0.02543,0.85051
CVE-2021-20096,0.00149,0.35992
CVE-2021-20099,0.00063,0.19789
CVE-2021-20100,0.00063,0.19789
CVE-2021-20101,0.0024,0.47169
CVE-2021-20102,0.00145,0.35418
CVE-2021-20103,0.0024,0.47169
CVE-2021-20104,0.01291,0.79199
CVE-2021-20105,0.00215,0.44063
CVE-2021-20106,0.003,0.52904
CVE-2021-20107,0.00074,0.22596
CVE-2021-20108,0.02752,0.85565
CVE-2021-20109,0.0279,0.85647
CVE-2021-20110,0.01866,0.82617
CVE-2021-20111,0.00206,0.429
CVE-2021-20112,0.00206,0.429
CVE-2021-20113,0.00302,0.53144
CVE-2021-20114,0.53868,0.97889
CVE-2021-20115,0.00264,0.49666
CVE-2021-20116,0.00264,0.49666
CVE-2021-20117,0.00043,0.13133
CVE-2021-20118,0.00043,0.13133
CVE-2021-20119,0.00094,0.26656
CVE-2021-20120,0.00145,0.35418
CVE-2021-20121,0.00072,0.22268
CVE-2021-20122,0.08536,0.9209
CVE-2021-20123,0.93989,0.99881
CVE-2021-20124,0.94059,0.99894
CVE-2021-20125,0.02971,0.86073
CVE-2021-20126,0.00109,0.29961
CVE-2021-20127,0.00346,0.56676
CVE-2021-20128,0.00206,0.429
CVE-2021-20129,0.01029,0.7678
CVE-2021-20130,0.48417,0.97627
CVE-2021-20131,0.48417,0.97627
CVE-2021-20132,0.0047,0.63927
CVE-2021-20133,0.00485,0.64679
CVE-2021-20134,0.01093,0.77448
CVE-2021-20135,0.00049,0.15514
CVE-2021-20136,0.31399,0.96606
CVE-2021-20137,0.11461,0.93372
CVE-2021-20138,0.08179,0.91897
CVE-2021-20139,0.07766,0.91651
CVE-2021-20140,0.07766,0.91651
CVE-2021-20141,0.07766,0.91651
CVE-2021-20142,0.07766,0.91651
CVE-2021-20143,0.07766,0.91651
CVE-2021-20144,0.07766,0.91651
CVE-2021-20145,0.00286,0.51738
CVE-2021-20146,0.01493,0.80628
CVE-2021-20147,0.18027,0.94943
CVE-2021-20148,0.00284,0.5143
CVE-2021-20149,0.00706,0.71543
CVE-2021-20150,0.38799,0.97112
CVE-2021-20151,0.00706,0.71543
CVE-2021-20152,0.00153,0.36553
CVE-2021-20153,0.00385,0.59156
CVE-2021-20154,0.00156,0.3686
CVE-2021-20155,0.00732,0.7213
CVE-2021-20156,0.00095,0.27026
CVE-2021-20157,0.00503,0.65417
CVE-2021-20158,0.8034,0.9908
CVE-2021-20159,0.09123,0.92394
CVE-2021-20160,0.09123,0.92394
CVE-2021-20161,0.00043,0.13286
CVE-2021-20162,0.00154,0.36611
CVE-2021-20163,0.00261,0.49273
CVE-2021-20164,0.00261,0.49273
CVE-2021-20165,0.00109,0.29961
CVE-2021-20166,0.64228,0.98364
CVE-2021-20167,0.79422,0.99035
CVE-2021-20168,0.00051,0.16128
CVE-2021-20169,0.00023,0.05429
CVE-2021-20170,0.00159,0.37368
CVE-2021-20171,0.00059,0.1852
CVE-2021-20172,0.00035,0.10033
CVE-2021-20173,0.11544,0.93398
CVE-2021-20174,0.00148,0.35758
CVE-2021-20175,0.00148,0.35758
CVE-2021-20176,0.00067,0.20876
CVE-2021-20177,0.00054,0.17047
CVE-2021-20178,0.00034,0.09415
CVE-2021-20179,0.00399,0.60039
CVE-2021-20180,0.00055,0.17264
CVE-2021-20181,0.00021,0.04909
CVE-2021-20182,0.0053,0.66567
CVE-2021-20183,0.00617,0.6931
CVE-2021-20184,0.00202,0.42453
CVE-2021-20185,0.00478,0.64346
CVE-2021-20186,0.00585,0.68361
CVE-2021-20187,0.00683,0.71047
CVE-2021-20188,0.00085,0.25132
CVE-2021-20190,0.00179,0.39787
CVE-2021-20191,0.00029,0.07572
CVE-2021-20193,0.00069,0.21383
CVE-2021-20194,0.0005,0.15719
CVE-2021-20195,0.00305,0.53305
CVE-2021-20196,0.00036,0.10316
CVE-2021-20197,0.00115,0.30962
CVE-2021-20198,0.00558,0.67523
CVE-2021-20199,0.00604,0.68914
CVE-2021-20201,0.0073,0.72088
CVE-2021-20202,0.00046,0.14043
CVE-2021-20203,0.00033,0.09332
CVE-2021-20204,0.01955,0.83027
CVE-2021-20205,0.00439,0.62534
CVE-2021-20206,0.00121,0.31748
CVE-2021-20208,0.00339,0.56136
CVE-2021-20209,0.01071,0.77224
CVE-2021-20210,0.01117,0.77705
CVE-2021-20211,0.00825,0.73877
CVE-2021-20212,0.01117,0.77705
CVE-2021-20213,0.01263,0.78957
CVE-2021-20214,0.01117,0.77705
CVE-2021-20215,0.01117,0.77705
CVE-2021-20216,0.01652,0.81572
CVE-2021-20217,0.00453,0.63167
CVE-2021-20218,0.00594,0.68604
CVE-2021-20219,0.00052,0.1623
CVE-2021-20220,0.0031,0.53744
CVE-2021-20221,0.00022,0.05275
CVE-2021-20222,0.0044,0.6258
CVE-2021-20224,0.00031,0.0858
CVE-2021-20225,0.00052,0.16471
CVE-2021-20226,0.00146,0.35541
CVE-2021-20227,0.0021,0.43595
CVE-2021-20228,0.00137,0.34193
CVE-2021-20229,0.00086,0.25224
CVE-2021-20230,0.00209,0.4336
CVE-2021-20231,0.00917,0.7537
CVE-2021-20232,0.00844,0.7421
CVE-2021-20233,0.0013,0.33152
CVE-2021-20234,0.00452,0.63122
CVE-2021-20235,0.09493,0.92557
CVE-2021-20236,0.00377,0.58663
CVE-2021-20237,0.0115,0.77999
CVE-2021-20238,0.00142,0.35007
CVE-2021-20239,0.00087,0.25463
CVE-2021-20240,0.00794,0.73372
CVE-2021-20241,0.00228,0.45532
CVE-2021-20243,0.00228,0.45532
CVE-2021-20244,0.0013,0.33218
CVE-2021-20245,0.00166,0.38175
CVE-2021-20246,0.00173,0.39095
CVE-2021-20247,0.01449,0.80329
CVE-2021-20250,0.00171,0.38752
CVE-2021-20251,0.00215,0.44089
CVE-2021-20252,0.00338,0.56084
CVE-2021-20253,0.00278,0.50812
CVE-2021-20254,0.0035,0.56916
CVE-2021-20255,0.00167,0.38284
CVE-2021-20256,0.00119,0.31602
CVE-2021-20257,0.00076,0.23041
CVE-2021-20259,0.00114,0.30676
CVE-2021-20260,0.00033,0.09366
CVE-2021-20261,0.00033,0.09321
CVE-2021-20262,0.00044,0.13439
CVE-2021-20263,0.00133,0.33604
CVE-2021-20264,0.00119,0.31567
CVE-2021-20265,0.0004,0.12199
CVE-2021-20266,0.00063,0.19851
CVE-2021-20267,0.00123,0.32261
CVE-2021-20268,0.00108,0.29712
CVE-2021-20269,0.00024,0.05717
CVE-2021-20270,0.00115,0.30863
CVE-2021-20271,0.00155,0.36814
CVE-2021-20272,0.02553,0.85078
CVE-2021-20273,0.02822,0.85728
CVE-2021-20274,0.00695,0.71302
CVE-2021-20275,0.0057,0.67891
CVE-2021-20276,0.02806,0.85688
CVE-2021-20277,0.14905,0.9432
CVE-2021-20278,0.00162,0.37571
CVE-2021-20279,0.00733,0.7214
CVE-2021-20280,0.01161,0.78106
CVE-2021-20281,0.00387,0.59263
CVE-2021-20282,0.00304,0.53266
CVE-2021-20283,0.00284,0.51415
CVE-2021-20284,0.00087,0.25496
CVE-2021-20285,0.00237,0.46677
CVE-2021-20286,0.00388,0.59292
CVE-2021-20288,0.00172,0.38997
CVE-2021-20289,0.00088,0.25667
CVE-2021-20290,0.00084,0.24861
CVE-2021-20291,0.00879,0.74768
CVE-2021-20292,0.00085,0.24944
CVE-2021-20293,0.00402,0.60213
