#model_version:v2025.03.14,score_date:2025-12-12T12:55:00Z
cve,epss,percentile
CVE-2016-1000000,0.00105,0.29295
CVE-2016-1000001,0.00175,0.39429
CVE-2016-1000002,0.0016,0.37523
CVE-2016-1000003,0.01696,0.81779
CVE-2016-1000004,0.0019,0.41128
CVE-2016-1000005,0.00533,0.666
CVE-2016-1000006,0.005,0.652
CVE-2016-1000007,0.0024,0.47249
CVE-2016-1000009,0.00272,0.50447
CVE-2016-1000027,0.57054,0.98027
CVE-2016-1000028,0.00311,0.53901
CVE-2016-1000029,0.00353,0.57074
CVE-2016-1000030,0.00778,0.72986
CVE-2016-1000031,0.56432,0.98004
CVE-2016-1000032,0.00333,0.55614
CVE-2016-1000033,0.00315,0.54161
CVE-2016-1000037,0.00494,0.64951
CVE-2016-1000104,0.00407,0.60483
CVE-2016-1000107,0.00531,0.66524
CVE-2016-1000108,0.00953,0.75778
CVE-2016-1000109,0.01586,0.81135
CVE-2016-1000110,0.07044,0.9115
CVE-2016-1000111,0.00694,0.71202
CVE-2016-1000112,0.35658,0.96901
CVE-2016-1000113,0.02773,0.85583
CVE-2016-1000114,0.00231,0.45851
CVE-2016-1000115,0.0079,0.73242
CVE-2016-1000116,0.004,0.60006
CVE-2016-1000117,0.02035,0.83315
CVE-2016-1000118,0.02035,0.83315
CVE-2016-1000119,0.02035,0.83315
CVE-2016-1000120,0.00899,0.75007
CVE-2016-1000121,0.00297,0.52742
CVE-2016-1000122,0.00899,0.75007
CVE-2016-1000123,0.06446,0.90703
CVE-2016-1000124,0.0227,0.8418
CVE-2016-1000125,0.02249,0.84107
CVE-2016-1000126,0.02196,0.83925
CVE-2016-1000127,0.02196,0.83925
CVE-2016-1000128,0.02927,0.85973
CVE-2016-1000129,0.02773,0.85582
CVE-2016-1000130,0.01668,0.81621
CVE-2016-1000131,0.02155,0.83773
CVE-2016-1000132,0.02422,0.8466
CVE-2016-1000133,0.02995,0.86123
CVE-2016-1000134,0.02155,0.83773
CVE-2016-1000135,0.02155,0.83773
CVE-2016-1000136,0.06584,0.90811
CVE-2016-1000137,0.07251,0.91294
CVE-2016-1000138,0.06584,0.90811
CVE-2016-1000139,0.02927,0.85973
CVE-2016-1000140,0.06584,0.90811
CVE-2016-1000141,0.06584,0.90811
CVE-2016-1000142,0.07251,0.91294
CVE-2016-1000143,0.06584,0.90811
CVE-2016-1000144,0.00992,0.76295
CVE-2016-1000145,0.01342,0.79516
CVE-2016-1000146,0.0204,0.83331
CVE-2016-1000147,0.01342,0.79516
CVE-2016-1000148,0.09352,0.92482
CVE-2016-1000149,0.07335,0.91346
CVE-2016-1000150,0.00992,0.76295
CVE-2016-1000151,0.01342,0.79516
CVE-2016-1000152,0.06492,0.90742
CVE-2016-1000153,0.01868,0.8259
CVE-2016-1000154,0.05754,0.90124
CVE-2016-1000155,0.02155,0.83773
CVE-2016-1000156,0.16392,0.94623
CVE-2016-1000213,0.00166,0.3829
CVE-2016-1000214,0.00331,0.55481
CVE-2016-1000215,0.00415,0.61016
CVE-2016-1000216,0.20214,0.95301
CVE-2016-1000217,0.11397,0.93308
CVE-2016-1000218,0.0013,0.33316
CVE-2016-1000219,0.00678,0.70851
CVE-2016-1000220,0.003,0.52951
CVE-2016-1000221,0.00749,0.72424
CVE-2016-1000222,0.0035,0.56863
CVE-2016-1000229,0.0485,0.89157
CVE-2016-1000232,0.00921,0.75341
CVE-2016-1000236,0.00539,0.6682
CVE-2016-1000237,0.00328,0.55232
CVE-2016-1000271,0.00251,0.48316
CVE-2016-1000282,0.74231,0.98781
CVE-2016-1000307,0.00223,0.45013
CVE-2016-1000338,0.00382,0.58943
CVE-2016-1000339,0.01113,0.77605
CVE-2016-1000340,0.00397,0.59899
CVE-2016-1000341,0.0084,0.74066
CVE-2016-1000342,0.00471,0.63863
CVE-2016-1000343,0.01619,0.81336
CVE-2016-1000344,0.00409,0.60621
CVE-2016-1000345,0.0084,0.74066
CVE-2016-1000346,0.0082,0.73755
CVE-2016-1000352,0.00409,0.60621
CVE-2016-10002,0.30071,0.96482
CVE-2016-10003,0.00976,0.76104
CVE-2016-10005,0.00993,0.76307
CVE-2016-10006,0.00992,0.76305
CVE-2016-10007,0.00456,0.63175
CVE-2016-10008,0.00456,0.63175
CVE-2016-10009,0.01579,0.81077
CVE-2016-10010,0.0008,0.24082
CVE-2016-10011,0.00017,0.03113
CVE-2016-10012,0.00016,0.0272
CVE-2016-10013,0.00099,0.27857
CVE-2016-10024,0.00143,0.35161
CVE-2016-10025,0.00121,0.31881
CVE-2016-10026,0.00377,0.5858
CVE-2016-10027,0.00388,0.59239
CVE-2016-10028,0.00087,0.25516
CVE-2016-10029,0.0007,0.21642
CVE-2016-10030,0.00654,0.70232
CVE-2016-10031,0.00294,0.52346
CVE-2016-10033,0.9447,0.99997
CVE-2016-10034,0.82322,0.99177
CVE-2016-10036,0.135,0.93956
CVE-2016-10037,0.00792,0.73275
CVE-2016-10038,0.00792,0.73275
CVE-2016-10039,0.00792,0.73275
CVE-2016-10040,0.00819,0.73738
CVE-2016-10041,0.00474,0.64014
CVE-2016-10042,0.00196,0.41832
CVE-2016-10043,0.37587,0.97031
CVE-2016-10044,4e-05,0.00175
CVE-2016-10045,0.93535,0.99818
CVE-2016-10046,0.00398,0.59946
CVE-2016-10047,0.00823,0.73789
CVE-2016-10048,0.04943,0.89252
CVE-2016-10049,0.00362,0.57672
CVE-2016-10050,0.00267,0.50064
CVE-2016-10051,0.0034,0.56158
CVE-2016-10052,0.00267,0.50064
CVE-2016-10053,0.00407,0.60466
CVE-2016-10054,0.00343,0.56374
CVE-2016-10055,0.00343,0.56374
CVE-2016-10056,0.00242,0.47398
CVE-2016-10057,0.00343,0.56374
CVE-2016-10058,0.00634,0.69685
CVE-2016-10059,0.00387,0.59163
CVE-2016-10060,0.00665,0.70541
CVE-2016-10061,0.00616,0.6922
CVE-2016-10062,0.00459,0.63345
CVE-2016-10063,0.00879,0.74694
CVE-2016-10064,0.00267,0.50064
CVE-2016-10065,0.00261,0.49305
CVE-2016-10066,0.0048,0.64341
CVE-2016-10067,0.01096,0.77435
CVE-2016-10068,0.00811,0.73593
CVE-2016-10069,0.00571,0.67853
CVE-2016-10070,0.00619,0.69275
CVE-2016-10071,0.005,0.65183
CVE-2016-10072,0.00185,0.40633
CVE-2016-10073,0.53554,0.97865
CVE-2016-10074,0.75512,0.98842
CVE-2016-10075,0.00088,0.25784
CVE-2016-10079,0.13933,0.94069
CVE-2016-10081,0.0286,0.85816
CVE-2016-10082,0.01533,0.80837
CVE-2016-10083,0.00343,0.56421
CVE-2016-10084,0.02052,0.83373
CVE-2016-10085,0.02052,0.83373
CVE-2016-10086,0.00715,0.71717
CVE-2016-10087,0.00949,0.75734
CVE-2016-10088,0.00075,0.22904
CVE-2016-10089,0.00099,0.28306
CVE-2016-10091,0.02609,0.85194
CVE-2016-10092,0.02274,0.84192
CVE-2016-10093,0.0137,0.79725
CVE-2016-10094,0.0049,0.64804
CVE-2016-10095,0.01077,0.77251
CVE-2016-10096,0.00496,0.65023
CVE-2016-10097,0.00781,0.73052
CVE-2016-10098,0.03271,0.86755
CVE-2016-10099,0.0133,0.79434
CVE-2016-10100,0.00293,0.52338
CVE-2016-10101,0.00295,0.52467
CVE-2016-10102,0.00082,0.24513
CVE-2016-10103,0.00159,0.37375
CVE-2016-10104,0.0027,0.50318
CVE-2016-10105,0.00806,0.73506
CVE-2016-10106,0.0081,0.73589
CVE-2016-10107,0.04341,0.88522
CVE-2016-10108,0.91159,0.99623
CVE-2016-10109,0.04872,0.89177
CVE-2016-10112,0.00121,0.32008
CVE-2016-10114,0.00548,0.67106
CVE-2016-10115,0.0624,0.90537
CVE-2016-10116,0.0709,0.91182
CVE-2016-10117,0.00042,0.1278
CVE-2016-10118,0.00045,0.13905
CVE-2016-10119,0.00032,0.08732
CVE-2016-10120,0.00032,0.08732
CVE-2016-10121,0.00032,0.08732
CVE-2016-10122,0.00042,0.1278
CVE-2016-10123,0.00042,0.1278
CVE-2016-10124,0.00277,0.50883
CVE-2016-10125,0.00767,0.72778
CVE-2016-10126,0.01373,0.79745
