#model_version:v2025.03.14,score_date:2026-05-28T12:55:00Z
cve,epss,percentile
CVE-2010-3000,0.35756,0.97151
CVE-2010-3001,0.00842,0.7502
CVE-2010-3002,0.00842,0.7502
CVE-2010-3003,0.00348,0.57546
CVE-2010-3004,0.04263,0.88977
CVE-2010-3005,0.00035,0.10646
CVE-2010-3006,0.00968,0.76874
CVE-2010-3007,0.25571,0.96317
CVE-2010-3008,0.00044,0.14012
CVE-2010-3009,0.00271,0.50698
CVE-2010-3010,0.00472,0.64938
CVE-2010-3011,0.00531,0.67506
CVE-2010-3012,0.00671,0.7168
CVE-2010-3013,0.00706,0.72441
CVE-2010-3014,0.00063,0.19752
CVE-2010-3015,0.00152,0.35557
CVE-2010-3017,0.00075,0.22731
CVE-2010-3018,0.0025,0.48459
CVE-2010-3019,0.03533,0.87851
CVE-2010-3020,0.00435,0.6312
CVE-2010-3021,0.00686,0.72014
CVE-2010-3022,0.00359,0.58332
CVE-2010-3023,0.15262,0.94719
CVE-2010-3024,0.0306,0.86921
CVE-2010-3025,0.00503,0.66364
CVE-2010-3026,0.00675,0.71768
CVE-2010-3027,0.00711,0.72545
CVE-2010-3028,0.00053,0.16739
CVE-2010-3029,0.00196,0.41337
CVE-2010-3030,0.00087,0.24943
CVE-2010-3031,0.0692,0.91527
CVE-2010-3032,0.25557,0.96315
CVE-2010-3033,0.00153,0.35716
CVE-2010-3034,0.0016,0.3657
CVE-2010-3035,0.053,0.90151
CVE-2010-3036,0.18833,0.95403
CVE-2010-3037,0.02295,0.84968
CVE-2010-3038,0.01012,0.77393
CVE-2010-3039,0.02623,0.85897
CVE-2010-3040,0.25557,0.96315
CVE-2010-3041,0.06752,0.91417
CVE-2010-3042,0.02627,0.85908
CVE-2010-3043,0.01488,0.81326
CVE-2010-3044,0.07972,0.92183
CVE-2010-3048,0.00655,0.71302
CVE-2010-3049,0.00058,0.18378
CVE-2010-3050,0.00487,0.65692
CVE-2010-3053,0.01701,0.82584
CVE-2010-3054,0.03893,0.88442
CVE-2010-3055,0.01727,0.82726
CVE-2010-3056,0.00761,0.73638
CVE-2010-3058,0.02431,0.85379
CVE-2010-3059,0.00827,0.74781
CVE-2010-3060,0.00885,0.75731
CVE-2010-3061,0.00988,0.77137
CVE-2010-3062,0.00843,0.75036
CVE-2010-3063,0.00498,0.6612
CVE-2010-3064,0.01089,0.78205
CVE-2010-3065,0.00425,0.62445
CVE-2010-3066,0.00131,0.32211
CVE-2010-3067,0.00151,0.35436
CVE-2010-3069,0.15227,0.94711
CVE-2010-3070,0.09633,0.9301
CVE-2010-3071,0.0188,0.83444
CVE-2010-3072,0.72511,0.98787
CVE-2010-3073,0.00159,0.36503
CVE-2010-3074,0.00072,0.21969
CVE-2010-3075,0.01004,0.77307
CVE-2010-3076,0.00444,0.63603
CVE-2010-3077,0.00737,0.73125
CVE-2010-3078,0.00083,0.24261
CVE-2010-3079,0.00066,0.2063
CVE-2010-3080,0.00047,0.15068
CVE-2010-3081,0.07253,0.91736
CVE-2010-3082,0.00407,0.61365
CVE-2010-3083,0.01785,0.83023
CVE-2010-3084,0.00046,0.14504
CVE-2010-3085,0.0063,0.70598
CVE-2010-3086,0.00127,0.31685
CVE-2010-3087,0.01787,0.83029
CVE-2010-3088,0.00728,0.72908
CVE-2010-3089,0.00393,0.60494
CVE-2010-3091,0.00701,0.72319
CVE-2010-3092,0.00173,0.38428
CVE-2010-3093,0.00249,0.48243
CVE-2010-3094,0.00242,0.47563
CVE-2010-3095,0.00069,0.21363
CVE-2010-3096,0.00173,0.3843
CVE-2010-3097,0.00175,0.38637
CVE-2010-3098,0.00175,0.38637
CVE-2010-3099,0.00173,0.3843
CVE-2010-3100,0.00175,0.38637
CVE-2010-3101,0.00175,0.38637
CVE-2010-3102,0.00147,0.34866
CVE-2010-3103,0.00147,0.34866
CVE-2010-3104,0.00147,0.34866
CVE-2010-3105,0.05235,0.90089
CVE-2010-3106,0.5577,0.98125
CVE-2010-3107,0.03391,0.8759
CVE-2010-3108,0.07529,0.91919
CVE-2010-3109,0.07529,0.91919
CVE-2010-3110,0.00043,0.1361
CVE-2010-3111,0.00303,0.53795
CVE-2010-3112,0.00252,0.48679
CVE-2010-3113,0.02514,0.85625
CVE-2010-3114,0.00581,0.69215
CVE-2010-3115,0.01527,0.81569
CVE-2010-3116,0.08687,0.92594
CVE-2010-3117,0.00783,0.74017
CVE-2010-3118,0.00227,0.45436
CVE-2010-3119,0.00352,0.57818
CVE-2010-3120,0.00795,0.74234
CVE-2010-3121,0.04846,0.89682
CVE-2010-3122,0.00681,0.71906
CVE-2010-3124,0.08392,0.92432
CVE-2010-3125,0.03067,0.86946
CVE-2010-3126,0.01696,0.82559
CVE-2010-3127,0.05174,0.90031
CVE-2010-3128,0.02214,0.84724
CVE-2010-3129,0.0178,0.82995
CVE-2010-3130,0.05714,0.90543
CVE-2010-3131,0.10225,0.93256
CVE-2010-3132,0.03166,0.87133
CVE-2010-3133,0.00441,0.63465
CVE-2010-3134,0.01469,0.81204
CVE-2010-3135,0.03695,0.88126
CVE-2010-3136,0.01409,0.80791
CVE-2010-3137,0.04205,0.88899
CVE-2010-3138,0.43265,0.97561
CVE-2010-3139,0.17089,0.95099
CVE-2010-3140,0.07297,0.91774
CVE-2010-3141,0.0493,0.8976
CVE-2010-3142,0.10332,0.93299
CVE-2010-3143,0.08821,0.92648
CVE-2010-3144,0.12279,0.93968
CVE-2010-3145,0.13593,0.94342
CVE-2010-3146,0.28594,0.96607
CVE-2010-3147,0.25085,0.96266
CVE-2010-3148,0.26525,0.9641
CVE-2010-3149,0.04168,0.88849
CVE-2010-3150,0.03485,0.87766
CVE-2010-3151,0.03485,0.87766
CVE-2010-3152,0.04626,0.89425
CVE-2010-3153,0.03112,0.87035
CVE-2010-3154,0.03342,0.87498
CVE-2010-3155,0.03342,0.87498
CVE-2010-3156,0.0006,0.18821
CVE-2010-3157,0.00847,0.75121
CVE-2010-3158,0.00053,0.16721
CVE-2010-3159,0.00069,0.21272
CVE-2010-3160,0.00056,0.17685
CVE-2010-3161,0.00058,0.18417
CVE-2010-3162,0.00058,0.18417
CVE-2010-3163,0.00053,0.16721
CVE-2010-3164,0.00053,0.16721
CVE-2010-3165,0.0006,0.18821
CVE-2010-3166,0.05962,0.9078
CVE-2010-3167,0.05398,0.9025
CVE-2010-3168,0.05398,0.9025
CVE-2010-3169,0.03233,0.87277
CVE-2010-3170,0.01158,0.78867
CVE-2010-3171,0.08698,0.926
CVE-2010-3172,0.00733,0.73018
CVE-2010-3173,0.02315,0.85026
CVE-2010-3174,0.03201,0.87207
CVE-2010-3175,0.03233,0.87277
CVE-2010-3176,0.03853,0.88383
CVE-2010-3177,0.00722,0.72803
CVE-2010-3178,0.00855,0.75248
CVE-2010-3179,0.22551,0.95934
CVE-2010-3180,0.0543,0.90285
CVE-2010-3181,0.00056,0.17685
CVE-2010-3182,0.00078,0.233
CVE-2010-3183,0.06976,0.91567
CVE-2010-3186,0.01418,0.8087
CVE-2010-3187,0.79528,0.99105
CVE-2010-3188,0.00397,0.60759
