#model_version:v2026.06.15,score_date:2026-09-23T12:00:20Z
cve,epss,percentile
CVE-2003-0001,0.70235,0.99352
CVE-2003-0002,0.23332,0.97682
CVE-2003-0003,0.43392,0.98676
CVE-2003-0004,0.03148,0.87388
CVE-2003-0007,0.03912,0.89847
CVE-2003-0009,0.16477,0.96849
CVE-2003-0010,0.23889,0.97728
CVE-2003-0011,0.13335,0.96231
CVE-2003-0012,0.0029,0.21844
CVE-2003-0013,0.02083,0.80741
CVE-2003-0014,0.0036,0.29796
CVE-2003-0015,0.2387,0.97726
CVE-2003-0016,0.17755,0.9703
CVE-2003-0017,0.06442,0.9342
CVE-2003-0018,0.00369,0.3084
CVE-2003-0019,0.00885,0.5774
CVE-2003-0020,0.16458,0.96845
CVE-2003-0021,0.01214,0.67229
CVE-2003-0022,0.0138,0.70942
CVE-2003-0023,0.0171,0.76368
CVE-2003-0024,0.01829,0.7793
CVE-2003-0025,0.27971,0.98018
CVE-2003-0026,0.18853,0.97164
CVE-2003-0027,0.25724,0.97874
CVE-2003-0028,0.15031,0.96571
CVE-2003-0030,0.04751,0.91483
CVE-2003-0031,0.01726,0.7656
CVE-2003-0032,0.0154,0.73834
CVE-2003-0033,0.11895,0.9592
CVE-2003-0034,0.01304,0.69292
CVE-2003-0035,0.00686,0.51253
CVE-2003-0036,0.00459,0.39078
CVE-2003-0037,0.03336,0.88115
CVE-2003-0038,0.0476,0.91499
CVE-2003-0039,0.07955,0.9449
CVE-2003-0040,0.0123,0.67636
CVE-2003-0041,0.03535,0.88757
CVE-2003-0042,0.46035,0.98755
CVE-2003-0043,0.04514,0.911
CVE-2003-0044,0.09133,0.95089
CVE-2003-0045,0.02491,0.83961
CVE-2003-0046,0.00358,0.29614
CVE-2003-0047,0.00477,0.40368
CVE-2003-0048,0.00381,0.32056
CVE-2003-0049,0.01834,0.77989
CVE-2003-0050,0.68858,0.99315
CVE-2003-0051,0.0206,0.80512
CVE-2003-0052,0.01362,0.70565
CVE-2003-0053,0.01817,0.77795
CVE-2003-0054,0.02344,0.82915
CVE-2003-0055,0.03109,0.87229
CVE-2003-0056,0.01091,0.63968
CVE-2003-0057,0.049,0.91705
CVE-2003-0058,0.0483,0.91596
CVE-2003-0059,0.03554,0.88812
CVE-2003-0060,0.05556,0.92505
CVE-2003-0061,0.00574,0.46161
CVE-2003-0062,0.00685,0.51195
CVE-2003-0063,0.03431,0.8843
CVE-2003-0064,0.02712,0.85367
CVE-2003-0065,0.01781,0.77314
CVE-2003-0066,0.02048,0.8039
CVE-2003-0067,0.01769,0.77165
CVE-2003-0068,0.01944,0.79296
CVE-2003-0069,0.02198,0.81754
CVE-2003-0070,0.02078,0.80683
CVE-2003-0071,0.00421,0.36132
CVE-2003-0072,0.01947,0.79332
CVE-2003-0073,0.0299,0.86752
CVE-2003-0074,0.01194,0.66693
CVE-2003-0075,0.03421,0.8839
CVE-2003-0076,0.02346,0.82929
CVE-2003-0077,0.01938,0.79243
CVE-2003-0078,0.13718,0.96333
CVE-2003-0079,0.00385,0.32492
CVE-2003-0080,0.01961,0.79473
CVE-2003-0081,0.05816,0.92819
CVE-2003-0082,0.02691,0.85252
CVE-2003-0083,0.17413,0.9699
CVE-2003-0084,0.02723,0.85429
CVE-2003-0085,0.87923,0.99757
CVE-2003-0086,0.00512,0.42647
CVE-2003-0087,0.01095,0.64132
CVE-2003-0088,0.0038,0.31883
CVE-2003-0089,0.01396,0.71248
CVE-2003-0091,0.0041,0.35017
CVE-2003-0092,0.00392,0.33254
CVE-2003-0093,0.01972,0.79575
CVE-2003-0094,0.0155,0.74012
CVE-2003-0095,0.13106,0.96184
CVE-2003-0096,0.15931,0.96746
CVE-2003-0097,0.01543,0.73877
CVE-2003-0098,0.05174,0.92082
CVE-2003-0099,0.00557,0.45295
CVE-2003-0100,0.09625,0.95268
CVE-2003-0101,0.15469,0.96649
CVE-2003-0102,0.01982,0.79685
CVE-2003-0103,0.01743,0.76785
CVE-2003-0104,0.0179,0.77423
CVE-2003-0105,0.02578,0.84537
CVE-2003-0106,0.01392,0.71183
CVE-2003-0107,0.25987,0.97893
CVE-2003-0108,0.11342,0.95795
CVE-2003-0109,0.85681,0.99715
CVE-2003-0110,0.17966,0.97055
CVE-2003-0111,0.36667,0.98433
CVE-2003-0112,0.02226,0.81985
CVE-2003-0113,0.39367,0.98543
CVE-2003-0114,0.14616,0.96498
CVE-2003-0115,0.11575,0.95845
CVE-2003-0116,0.25248,0.97843
CVE-2003-0117,0.09055,0.9506
CVE-2003-0118,0.08144,0.94599
