#model_version:v2026.06.15,score_date:2026-09-23T12:00:20Z
cve,epss,percentile
CVE-2017-0001,0.03114,0.8725
CVE-2017-0002,0.1489,0.96549
CVE-2017-0003,0.24693,0.97795
CVE-2017-0004,0.91372,0.99808
CVE-2017-0005,0.11022,0.95714
CVE-2017-0006,0.16607,0.96876
CVE-2017-0007,0.11264,0.95778
CVE-2017-0008,0.36998,0.98447
CVE-2017-0009,0.3962,0.98552
CVE-2017-0010,0.27051,0.97956
CVE-2017-0011,0.4236,0.98642
CVE-2017-0012,0.07586,0.94271
CVE-2017-0014,0.17594,0.97012
CVE-2017-0015,0.26374,0.97915
CVE-2017-0016,0.25709,0.97873
CVE-2017-0017,0.41952,0.98631
CVE-2017-0018,0.1351,0.96274
CVE-2017-0019,0.16607,0.96877
CVE-2017-0020,0.16387,0.96829
CVE-2017-0021,0.01707,0.76316
CVE-2017-0022,0.18069,0.97067
CVE-2017-0023,0.34017,0.98329
CVE-2017-0024,0.02388,0.83221
CVE-2017-0025,0.01835,0.78005
CVE-2017-0026,0.02388,0.83221
CVE-2017-0027,0.22552,0.9761
CVE-2017-0028,0.18938,0.97175
CVE-2017-0029,0.15566,0.96683
CVE-2017-0030,0.25985,0.97893
CVE-2017-0031,0.26316,0.97912
CVE-2017-0032,0.1523,0.96608
CVE-2017-0033,0.08093,0.94567
CVE-2017-0034,0.12733,0.96091
CVE-2017-0035,0.1523,0.96606
CVE-2017-0037,0.80386,0.99603
CVE-2017-0038,0.821,0.99639
CVE-2017-0039,0.37354,0.98462
CVE-2017-0040,0.13463,0.96264
CVE-2017-0042,0.29524,0.98104
CVE-2017-0043,0.02059,0.80492
CVE-2017-0045,0.06581,0.93534
CVE-2017-0047,0.01858,0.78304
CVE-2017-0049,0.38918,0.98525
CVE-2017-0050,0.01468,0.72604
CVE-2017-0051,0.031,0.87194
CVE-2017-0052,0.16607,0.96876
CVE-2017-0053,0.16744,0.96898
CVE-2017-0055,0.16369,0.96825
CVE-2017-0056,0.0139,0.71154
CVE-2017-0057,0.13958,0.9638
CVE-2017-0058,0.03655,0.89129
CVE-2017-0059,0.61968,0.99138
CVE-2017-0060,0.15939,0.96747
CVE-2017-0061,0.4313,0.98665
CVE-2017-0062,0.17832,0.9704
CVE-2017-0063,0.3528,0.98376
CVE-2017-0064,0.05195,0.92109
CVE-2017-0065,0.27406,0.97978
CVE-2017-0066,0.29946,0.98127
CVE-2017-0067,0.1523,0.96606
CVE-2017-0068,0.1518,0.96597
CVE-2017-0069,0.08577,0.94834
CVE-2017-0070,0.78538,0.99566
CVE-2017-0071,0.31893,0.98227
CVE-2017-0072,0.42546,0.98647
CVE-2017-0073,0.33359,0.98302
CVE-2017-0074,0.01382,0.70983
CVE-2017-0075,0.1267,0.96077
CVE-2017-0076,0.01594,0.74654
CVE-2017-0077,0.01537,0.73772
CVE-2017-0078,0.02388,0.83221
CVE-2017-0079,0.02388,0.8322
CVE-2017-0080,0.02388,0.8322
CVE-2017-0081,0.02388,0.8322
CVE-2017-0082,0.02388,0.83221
CVE-2017-0083,0.42546,0.98648
CVE-2017-0084,0.36529,0.98426
CVE-2017-0085,0.22471,0.97599
CVE-2017-0086,0.42546,0.98648
CVE-2017-0087,0.42546,0.98648
CVE-2017-0088,0.41872,0.9863
CVE-2017-0089,0.57338,0.99034
CVE-2017-0090,0.42546,0.98648
CVE-2017-0091,0.22471,0.97598
