#model_version:v2026.06.15,score_date:2026-09-06T12:02:50Z
cve,epss,percentile
CVE-2021-0001,0.00209,0.11041
CVE-2021-0002,0.00325,0.2514
CVE-2021-0003,0.00319,0.2441
CVE-2021-0004,0.00263,0.17906
CVE-2021-0005,0.0023,0.1368
CVE-2021-0006,0.0023,0.13681
CVE-2021-0007,0.0023,0.1368
CVE-2021-0008,0.0023,0.1368
CVE-2021-0009,0.00386,0.31802
CVE-2021-0012,0.00233,0.141
CVE-2021-0013,0.00944,0.58759
CVE-2021-0051,0.0023,0.13681
CVE-2021-0052,0.00215,0.11789
CVE-2021-0053,0.00332,0.25958
CVE-2021-0054,0.00245,0.15652
CVE-2021-0055,0.00215,0.11787
CVE-2021-0056,0.00215,0.11788
CVE-2021-0057,0.00263,0.17908
CVE-2021-0058,0.00215,0.11787
CVE-2021-0060,0.00323,0.24974
CVE-2021-0061,0.00255,0.17018
CVE-2021-0062,0.00246,0.15769
CVE-2021-0063,0.00374,0.30556
CVE-2021-0064,0.00208,0.10906
CVE-2021-0065,0.00208,0.10906
CVE-2021-0066,0.00321,0.24736
CVE-2021-0067,0.00245,0.15653
CVE-2021-0069,0.00374,0.30557
CVE-2021-0070,0.00423,0.35469
CVE-2021-0071,0.00409,0.34174
CVE-2021-0072,0.00307,0.23065
CVE-2021-0073,0.00246,0.1577
CVE-2021-0074,0.00215,0.11788
CVE-2021-0075,0.00212,0.11422
CVE-2021-0076,0.00264,0.18067
CVE-2021-0077,0.00215,0.11786
CVE-2021-0078,0.00416,0.34864
CVE-2021-0079,0.00374,0.30557
CVE-2021-0082,0.00254,0.16834
CVE-2021-0083,0.00224,0.12941
CVE-2021-0084,0.00316,0.24097
CVE-2021-0086,0.00372,0.30321
CVE-2021-0089,0.00372,0.3034
CVE-2021-0090,0.00291,0.21366
CVE-2021-0091,0.00334,0.26148
CVE-2021-0092,0.00248,0.16059
CVE-2021-0093,0.00235,0.14421
CVE-2021-0094,0.00284,0.20587
CVE-2021-0095,0.0023,0.13679
