#model_version:v2026.06.15,score_date:2026-09-23T12:00:20Z
cve,epss,percentile
CVE-2020-0001,0.00415,0.3556
CVE-2020-0002,0.01387,0.71067
CVE-2020-0003,0.0014,0.03727
CVE-2020-0004,0.00148,0.04409
CVE-2020-0005,0.0018,0.07837
CVE-2020-0006,0.00769,0.54134
CVE-2020-0007,0.00168,0.06561
CVE-2020-0008,0.00117,0.01893
CVE-2020-0009,0.00678,0.50912
CVE-2020-0010,0.00167,0.06324
CVE-2020-0011,0.00173,0.07045
CVE-2020-0012,0.00172,0.06954
CVE-2020-0014,0.00926,0.59005
CVE-2020-0015,0.00167,0.06337
CVE-2020-0016,0.00175,0.07233
CVE-2020-0017,0.00176,0.07419
CVE-2020-0018,0.0016,0.05564
CVE-2020-0019,0.00174,0.07099
CVE-2020-0020,0.00148,0.04398
CVE-2020-0021,0.00847,0.56587
CVE-2020-0022,0.06052,0.93062
CVE-2020-0023,0.00332,0.26567
CVE-2020-0024,0.00167,0.06362
CVE-2020-0025,0.00125,0.02577
CVE-2020-0026,0.00171,0.06801
CVE-2020-0027,0.00181,0.0793
CVE-2020-0028,0.02683,0.852
CVE-2020-0029,0.00147,0.04314
CVE-2020-0030,0.00155,0.05105
CVE-2020-0031,0.00157,0.05306
CVE-2020-0032,0.01599,0.74729
CVE-2020-0033,0.00199,0.10068
CVE-2020-0034,0.01945,0.79314
CVE-2020-0035,0.00162,0.05858
CVE-2020-0036,0.00191,0.0907
CVE-2020-0037,0.01161,0.65834
CVE-2020-0038,0.01145,0.65366
CVE-2020-0039,0.01145,0.65366
CVE-2020-0041,0.03219,0.87679
CVE-2020-0042,0.00158,0.05389
CVE-2020-0043,0.00158,0.05389
CVE-2020-0044,0.00143,0.03946
CVE-2020-0045,0.00117,0.01871
CVE-2020-0046,0.00161,0.05745
CVE-2020-0047,0.0013,0.03033
CVE-2020-0048,0.00139,0.03683
CVE-2020-0049,0.00732,0.52922
CVE-2020-0050,0.0016,0.0558
CVE-2020-0051,0.00167,0.06371
CVE-2020-0052,0.00158,0.05323
CVE-2020-0053,0.00156,0.0513
CVE-2020-0054,0.00143,0.04016
CVE-2020-0055,0.00166,0.06301
CVE-2020-0056,0.00156,0.05182
CVE-2020-0057,0.00156,0.05183
CVE-2020-0058,0.0016,0.05563
CVE-2020-0059,0.00156,0.05182
CVE-2020-0060,0.00167,0.06419
CVE-2020-0061,0.00164,0.06007
CVE-2020-0062,0.00609,0.47858
CVE-2020-0063,0.00168,0.06573
CVE-2020-0064,0.00134,0.03267
CVE-2020-0065,0.00134,0.03268
CVE-2020-0066,0.00142,0.03863
CVE-2020-0067,0.00477,0.40359
CVE-2020-0068,0.00148,0.04349
CVE-2020-0069,0.0137,0.70736
CVE-2020-0070,0.01338,0.70048
CVE-2020-0071,0.01338,0.70049
CVE-2020-0072,0.01338,0.70049
CVE-2020-0073,0.01338,0.7005
