#model_version:v2026.06.15,score_date:2026-09-23T12:00:20Z
cve,epss,percentile
CVE-2014-0001,0.06353,0.93338
CVE-2014-0002,0.32541,0.98263
CVE-2014-0003,0.07352,0.94132
CVE-2014-0004,0.0043,0.36816
CVE-2014-0005,0.00799,0.55049
CVE-2014-0006,0.01911,0.78925
CVE-2014-0007,0.09017,0.95046
CVE-2014-0008,0.01823,0.77863
CVE-2014-0009,0.01227,0.6757
CVE-2014-0010,0.01095,0.64117
CVE-2014-0011,0.02494,0.8398
CVE-2014-0012,0.00434,0.37211
CVE-2014-0013,0.00673,0.50733
CVE-2014-0014,0.01196,0.66753
CVE-2014-0015,0.05599,0.92564
CVE-2014-0016,0.02155,0.81389
CVE-2014-0017,0.00356,0.29383
CVE-2014-0018,0.00354,0.29154
CVE-2014-0019,0.00404,0.34476
CVE-2014-0020,0.02747,0.85562
CVE-2014-0021,0.03801,0.89551
CVE-2014-0022,0.0241,0.83384
CVE-2014-0023,0.00404,0.34449
CVE-2014-0026,0.00432,0.37039
CVE-2014-0027,0.00331,0.26532
CVE-2014-0028,0.00623,0.48554
CVE-2014-0029,0.00754,0.53624
CVE-2014-0030,0.16867,0.96914
CVE-2014-0031,0.02151,0.81361
CVE-2014-0032,0.11052,0.95719
CVE-2014-0033,0.09895,0.95364
CVE-2014-0034,0.07405,0.94166
CVE-2014-0035,0.07053,0.93918
CVE-2014-0036,0.01968,0.79535
CVE-2014-0037,0.02415,0.83432
CVE-2014-0038,0.35451,0.98381
CVE-2014-0039,0.00601,0.47471
CVE-2014-0040,0.01466,0.72559
CVE-2014-0041,0.01374,0.70837
CVE-2014-0042,0.01466,0.72559
CVE-2014-0043,0.03012,0.8684
CVE-2014-0044,0.02448,0.83672
CVE-2014-0045,0.04025,0.90145
CVE-2014-0046,0.01516,0.73432
CVE-2014-0047,0.00388,0.32842
CVE-2014-0048,0.06508,0.9347
CVE-2014-0049,0.00775,0.54328
CVE-2014-0050,0.83175,0.99662
CVE-2014-0053,0.01979,0.79659
CVE-2014-0054,0.91354,0.99808
CVE-2014-0055,0.0062,0.48362
CVE-2014-0056,0.01445,0.72145
CVE-2014-0057,0.01587,0.74556
CVE-2014-0058,0.00346,0.2832
CVE-2014-0059,0.00347,0.28336
CVE-2014-0060,0.04124,0.90365
CVE-2014-0061,0.0493,0.9175
CVE-2014-0062,0.03018,0.86866
CVE-2014-0063,0.06666,0.93594
CVE-2014-0064,0.05353,0.92281
CVE-2014-0065,0.05046,0.91924
CVE-2014-0066,0.04682,0.91377
CVE-2014-0067,0.00484,0.40862
CVE-2014-0068,0.00223,0.13235
CVE-2014-0069,0.00414,0.35386
CVE-2014-0071,0.01819,0.77807
CVE-2014-0072,0.07725,0.94358
CVE-2014-0073,0.08282,0.94674
